"Wollaston Beach, Quincy: Bacterial Water Quality",,,,,,,,,,,
,,,,Milton Road,,Channing Street,,Sachem Street,,Rice Road,
"August 16, 2019",0,0,0,,24,,2,,12,,4
"August 15, 2019",0,0,0,,86,,129,,10,,13
"August 14, 2019",0,0,0,,1180,,135,,41,<,10
"August 13, 2019",0,0,0,,109,<,10,,10,,20
"August 12, 2019",0,0,0,,30,<,10,<,10,,10
"August 11, 2019",0,0,0,<,10,<,10,,20,<,10
"August 10, 2019",0,0,0.38,<,10,,10,<,10,<,10
"August 9, 2019",0,0.38,2.28,,18,,14,,4,,2
"August 8, 2019",0.38,2.28,2.28,,5,,5,,29,,2
"August 7, 2019",1.9,1.9,1.9,,10,,10,,20,,10
"August 6, 2019",0,0,0,,10,<,10,,41,<,10
"August 5, 2019",0,0,0,,10,,63,,98,,31
"August 4, 2019",0,0,0,<,10,,10,,10,,1520
"August 3, 2019",0,0,0,,8,<,2,,3,,46
"August 2, 2019",0,0,1.25,,37,,8,,6,,2
"August 1, 2019",0,1.25,1.25,,8,,32,,56,,3
"July 31, 2019",1.25,1.25,1.26,<,10,<,10,<,10,,10
"July 30, 2019",0,0.01,0.01,,20,,10,,20,,85
"July 29, 2019",0.01,0.01,0.01,<,10,<,10,<,10,<,10
"July 28, 2019",0,0,0,<,10,<,10,<,10,<,10
"July 27, 2019",0,0,0,<,10,,20,<,10,<,10
"July 26, 2019",0,0,0,,2,,3,<,2,<,2
"July 25, 2019",0,0,1.03,,8,,7,,12,,2
"July 24, 2019",0,1.03,1.88,,20,,122,,10,,20
"July 23, 2019",1.03,1.88,1.88,,9800,,3450,,426,,161
"July 22, 2019",0.85,0.85,0.85,,121,<,10,<,10,<,10
"July 21, 2019",0,0,0,,10,,20,,10,<,10
"July 20, 2019",0,0,0.04,<,10,<,10,,10,<,10
"July 19, 2019",0,0.04,0.47,,12,,25,<,2,<,2
"July 18, 2019",0.04,0.47,0.47,,1230,,438,,400,,117
"July 17, 2019",0.43,0.43,0.43,<,10,<,10,,10,<,10
"July 16, 2019",0,0,0,,10,<,10,,20,,10
"July 15, 2019",0,0,0,,10,<,10,,31,,31
"July 14, 2019",0,0,0.81,,10,,20,<,10,,10
"July 13, 2019",0,0.81,0.83,,20,,10,<,10,,31
"July 12, 2019",0.81,0.83,0.83,,81,,492,,708,,119
"July 11, 2019",0.02,0.02,0.02,,10,,13,<,2,,2
"July 10, 2019",0,0,0,,187,,345,<,10,<,10
"July 9, 2019",0,0,0,,41,<,10,<,10,<,10
"July 8, 2019",0,0,1.37,,20,,158,,62,,145
"July 7, 2019",0,1.37,1.37,,6130,,9800,,295,,402
"July 6, 2019",1.37,1.37,1.37,<,10,<,10,<,10,<,10
"July 5, 2019",0,0,0,,18,,8,,20,<,2
"July 4, 2019",0,0,0,,94,,52,,92,,67
"July 3, 2019",0,0,0,,3,,63,,13,,2
"July 2, 2019",0,0,0.16,,19,,18,,27,,37
"July 1, 2019",0,0.16,1.81,,41,,98,,364,,63
"June 30, 2019",0.16,1.81,1.81,,122,,119,,228,,171
"June 29, 2019",1.65,1.65,1.65,,529,,41,,504,,20
"June 28, 2019",0,0,0,,21,,37,,7,,12
"June 27, 2019",0,0,0.13,,10,,20,,5,,10
"June 26, 2019",0,0.13,0.13,,10,,20,<,10,<,10
"June 25, 2019",0.13,0.13,0.13,,10,<,10,,20,<,10
"June 24, 2019",0,0,0,,41,,41,,110,<,10
"June 23, 2019",0,0,1.19,<,10,,73,,110,,41
"June 22, 2019",0,1.19,1.56,,20,<,10,,41,,20
"June 21, 2019",1.19,1.56,1.56,>,2600,>,2600,>,2600,>,2600
"June 20, 2019",0.37,0.37,0.47,,6,,8,,14,,4
"June 19, 2019",0,0.1,0.1,,20,,10,,8,,4
"June 18, 2019",0.1,0.1,0.21,<,10,<,10,<,10,<,10
"June 17, 2019",0,0.11,0.11,<,10,<,10,<,10,,10
"June 16, 2019",0.11,0.11,0.11,,41,<,10,<,10,<,10
"June 15, 2019",0,0,0.63,<,10,,20,,10,,10
"June 14, 2019",0,0.63,0.63,,18,,17,,17,,30
"June 13, 2019",0.63,0.63,1.16,,28,,7,<,2,,4
"June 7, 2019",0,0.01,0.06,,8,,5,,25,,22
"June 6, 2019",0.01,0.06,0.06,<,2,,4,<,2,,2
"May 31, 2019",0.07,0.3,0.3,,46,,20,,32,,68
"May 30, 2019",0.23,0.23,0.53,,17,,19,,4,,2
"May 24, 2019",0,0.12,0.12,,4,,2,,2,<,2
"May 23, 2019",0.12,0.12,0.12,,3,,7,,8,<,2
"September 2, 2018",0,0,0,,20,,84,,41,,84
"September 1, 2018",0,0,0,,20,,30,<,10,<,10
"August 31, 2018",0,0,0,,18,,114,,12,,12
"August 30, 2018",0,0,0,<,2,,3,,5,<,2
"August 29, 2018",0,0,0,<,10,,31,<,10,<,10
"August 28, 2018",0,0,0,<,10,,10,<,10,<,10
"August 27, 2018",0,0,0,<,10,,10,,20,,20
"August 26, 2018",0,0,0,<,10,,31,<,10,,10
"August 25, 2018",0,0,0,,20,,10,,10,,20
"August 24, 2018",0,0,0.5,<,2,,10,,30,,2
"August 23, 2018",0,0.5,0.5,,25,,75,,94,,137
"August 22, 2018",0.5,0.5,0.5,<,10,,10,<,10,,51
"August 21, 2018",0,0,0.01,,30,,63,<,10,,10
"August 20, 2018",0,0.01,0.14,,98,,86,,31,,10
"August 19, 2018",0.01,0.14,0.34,,404,,275,,74,,20
"August 18, 2018",0.13,0.33,0.33,,10,<,10,,20,<,10
"August 17, 2018",0.2,0.2,0.2,,8,,27,,13,,13
"August 16, 2018",0,0,0.01,,32,,12,,300,,10
"August 15, 2018",0,0.01,0.3,,30,,10,,10,<,10
"August 14, 2018",0.01,0.3,1.68,,60,,5,,8,<,2
"August 13, 2018",0.29,1.67,2.06,,65,,129,,144,,24
"August 12, 2018",1.38,1.77,1.77,,608,,777,,1470,,400
"August 11, 2018",0.39,0.39,0.45,,20,,246,,132,,31
"August 10, 2018",0,0.06,1.04,,37,,143,,41,,16
"August 9, 2018",0.06,1.04,1.04,,22,,76,,68,,23
"August 8, 2018",0.98,0.98,0.98,<,10,,10,,10,<,10
"August 7, 2018",0,0,0,,10,<,10,,10,,20
"August 6, 2018",0,0,0.64,<,10,,85,,108,,20
"August 5, 2018",0,0.64,0.7,,31,,97,,86,,121
"August 4, 2018",0.64,0.7,0.7,,10,,20,<,10,<,10
"August 3, 2018",0.06,0.06,0.06,,8,,7,,2,,2
"August 2, 2018",0,0,0,,2,<,2,,7,<,2
"August 1, 2018",0,0,0,,10,<,10,<,10,,10
"July 31, 2018",0,0,0,<,10,,10,,10,,10
"July 30, 2018",0,0,0,,20,,10,,31,<,10
"July 29, 2018",0,0,0,<,10,,20,,10,<,10
"July 28, 2018",0,0,0.6,<,10,<,10,<,10,<,10
"July 27, 2018",0,0.6,0.74,,16,,24,,56,<,2
"July 26, 2018",0.6,0.74,0.74,,8,,16,,8,<,2
"July 25, 2018",0.14,0.14,0.17,,52,<,10,,20,,30
"July 24, 2018",0,0.03,0.2,,10,,20,,20,<,10
"July 23, 2018",0.03,0.2,0.2,,85,,10,<,10,<,10
"July 22, 2018",0.17,0.17,0.17,,41,,31,,20,<,10
"July 21, 2018",0,0,0,,10,,10,,20,<,10
"July 20, 2018",0,0,0.06,,20,,6,,4,<,2
"July 19, 2018",0,0.06,2.74,,2,,4,,24,,25
"July 18, 2018",0.06,2.74,2.74,,31,,63,,74,,228
"July 17, 2018",2.68,2.68,2.69,<,10,<,10,,10,,10
"July 16, 2018",0,0.01,0.32,,10,,10,,41,<,10
"July 15, 2018",0.01,0.32,0.32,,4,,25,<,2,<,2
"July 14, 2018",0.31,0.31,0.31,,14,,30,,8,,2
"July 12, 2018",0,0.19,0.19,,8,,27,,86,,3
"July 11, 2018",0.19,0.19,0.19,,5170,,6130,,1220,<,10
"July 10, 2018",0,0,0,,30,,10,,30,,63
"July 9, 2018",0,0,0,<,10,<,10,<,10,<,10
"July 8, 2018",0,0,0.35,<,10,<,10,,10,<,10
"July 7, 2018",0,0.35,0.35,,10,<,10,,10,,20
"July 6, 2018",0.35,0.35,0.35,,10,,2,,4,,15
"July 5, 2018",0,0,0.01,<,2,<,2,,5,,4
"July 4, 2018",0,0.01,0.01,<,10,<,10,<,10,,10
"July 3, 2018",0.01,0.01,0.01,<,10,<,10,<,10,<,10
"July 2, 2018",0,0,0,<,10,,52,,63,<,10
"July 1, 2018",0,0,0,,10,<,10,,41,,10
"June 30, 2018",0,0,1.16,<,10,,10,,41,,10
"June 29, 2018",0,1.16,1.25,,23,,12,,12,<,2
"June 28, 2018",1.16,1.25,1.25,>,2600,,13,,2,<,2
"June 27, 2018",0.09,0.09,0.42,<,10,<,10,<,10,,20
"June 26, 2018",0,0.33,0.59,,20,,20,,10,,10
"June 25, 2018",0.33,0.59,0.59,,52,,910,,9800,,857
"June 24, 2018",0.26,0.26,0.26,,63,,10,<,10,<,10
"June 23, 2018",0,0,0,,20,,10,<,10,,10
"June 22, 2018",0,0,0,,10,,22,,2,<,2
"June 21, 2018",0,0,0.01,,10,,4,,10,,2
"June 20, 2018",0,0.01,0.14,,1500,<,10,,10,<,10
"June 19, 2018",0.01,0.14,0.14,,20,,41,,10,<,10
"June 18, 2018",0.13,0.13,0.13,<,10,<,10,<,10,<,10
"June 17, 2018",0,0,0,,38,,20,,4,<,2
"June 16, 2018",0,0,0,,13,,2,<,2,<,2
"June 15, 2018",0,0,0,,79,,22,,10,,13
"June 14, 2018",0,0,0,<,2,,22,<,2,,4
"June 13, 2018",0,0,0,<,2,,2,,2,<,2
"June 12, 2018",0,0,0,,2,<,2,,2,<,2
"June 11, 2018",0,0,0,,2,,28,<,2,<,2
"June 10, 2018",0,0,0,,2,,2,,32,,2
"June 9, 2018",0,0,0,<,2,,7,<,2,<,2
"June 8, 2018",0,0,0,,10,,13,,2,,8
"June 7, 2018",0,0,0.34,,2,,8,,2,<,2
"June 6, 2018",0,0.34,0.96,,,,,,,,323
"June 5, 2018",0.34,0.96,0.96,,40,,79,,54,,106
"June 1, 2018",0.01,0.01,0.01,<,2,<,2,<,2,<,2
"May 31, 2018",0,0,0,<,2,,2,<,2,<,2
"May 25, 2018",0,0,0.02,,10,<,2,,2,,2
"May 24, 2018",0,0.02,0.05,,592,,554,,185,,79
"September 3, 2017",0.28,0.28,0.28,,185,,275,,148,,146
"September 2, 2017",0,0,0,,41,,74,<,10,,20
"September 1, 2017",0,0,0.07,,2,,2,,8,,8
"August 31, 2017",0,0.07,0.07,,2,,2,,8,,7
"August 30, 2017",0.07,0.07,0.07,,145,,63,,63,,404
"August 29, 2017",0,0,0,,10,<,10,<,10,,20
"August 28, 2017",0,0,0,<,10,<,10,,10,<,10
"August 27, 2017",0,0,0,<,10,<,10,,10,<,10
"August 26, 2017",0,0,0,,20,<,10,,52,,119
"August 25, 2017",0,0,0.04,,10,,7,,21,,67
"August 24, 2017",0,0.04,0.04,,20,<,2,,2,,19
"August 23, 2017",0.04,0.04,0.04,,10,<,10,,10,,10
"August 22, 2017",0,0,0,<,10,,31,,41,,10
"August 21, 2017",0,0,0.01,,10,<,10,<,10,,31
"August 20, 2017",0,0.01,0.25,,10,<,10,,41,,41
"August 19, 2017",0.01,0.25,0.25,,10,,52,,171,,31
"August 18, 2017",0.24,0.24,0.24,,10,,2,,4,,22
"August 17, 2017",0,0,0,<,2,<,2,,10,<,2
"August 16, 2017",0,0,0,,31,,20,<,10,,98
"August 15, 2017",0,0,0,,10,,10,,20,<,10
"August 14, 2017",0,0,0.1,,30,,30,,10,<,10
"August 13, 2017",0,0.1,0.1,<,10,,10,<,10,,10
"August 12, 2017",0.1,0.1,0.1,,96,,52,,10,<,10
"August 11, 2017",0,0,0,,21,,13,,8,,7
"August 10, 2017",0,0,0,,192,,14,,6,,17
"August 9, 2017",0,0,0,<,10,<,10,,10,<,10
"August 8, 2017",0,0,0,,41,,62,,10,<,10
"August 7, 2017",0,0,0.16,,122,,110,,62,,20
"August 6, 2017",0,0.16,0.16,<,10,,20,,10,<,10
"August 5, 2017",0.16,0.16,0.16,<,10,,10,,10,,10
"August 4, 2017",0,0,0.96,,8,,15,,18,<,2
"August 3, 2017",0,0.96,0.96,,16,,12,,30,,7
"August 2, 2017",0.96,0.96,0.96,<,10,<,10,,10,<,10
"August 1, 2017",0,0,0,<,10,<,10,<,10,<,10
"July 31, 2017",0,0,0,,20,<,10,,10,<,10
"July 30, 2017",0,0,0,<,10,<,10,,20,,30
"July 29, 2017",0,0,0.04,<,10,,171,,63,,41
"July 28, 2017",0,0.04,0.04,,10,,50,,23,,32
"July 27, 2017",0.04,0.04,0.05,,13,,10,,10,,4
"July 26, 2017",0,0.01,1.42,,41,,20,,216,,52
"July 25, 2017",0.01,1.42,1.42,,346,,577,,715,,477
"July 24, 2017",1.41,1.41,1.41,,22,,118,,13,,33
"July 23, 2017",0,0,0,,1260,,41,,10,,20
"July 22, 2017",0,0,0,<,10,<,10,,41,,10
"July 21, 2017",0,0,0,,59,,37,,140,,16
"July 20, 2017",0,0,0.12,,103,,27,,56,,12
"July 19, 2017",0,0.12,0.12,,10,,74,,63,,63
"July 18, 2017",0.12,0.12,0.12,<,10,,30,,10,<,10
"July 17, 2017",0,0,0,<,10,,20,,10,,10
"July 16, 2017",0,0,0,,10,,20,<,10,<,10
"July 15, 2017",0,0,0.14,,20,,20,,10,<,10
"July 14, 2017",0,0.14,1.47,,22,,68,,67,,33
"July 13, 2017",0.14,1.47,1.64,,110,,1770,,86,,215
"July 12, 2017",1.33,1.5,1.5,<,10,<,10,,10,<,10
"July 11, 2017",0.17,0.17,0.17,<,10,,10,,10,<,10
"July 10, 2017",0,0,0.4,<,10,,31,,20,,31
"July 9, 2017",0,0.4,0.7,,10,,20,,20,<,10
"July 8, 2017",0.4,0.7,0.7,,20,,30,,31,<,10
"July 7, 2017",0.3,0.3,0.3,<,2,,36,<,2,<,2
"July 6, 2017",0,0,0,,2,,6,,2,<,2
"July 5, 2017",0,0,0,,20,,31,<,10,<,10
"July 4, 2017",0,0,0,<,10,<,10,,10,<,10
"July 3, 2017",0,0,0.11,,10,,10,<,10,,10
"July 2, 2017",0,0.11,0.18,<,10,<,10,<,10,<,10
"July 1, 2017",0.11,0.18,0.18,,20,<,10,<,10,<,10
"June 30, 2017",0.07,0.07,0.07,,2,,6,<,2,,2
"June 29, 2017",0,0,0.08,<,2,,4,<,2,<,2
"June 28, 2017",0,0.08,0.08,,10,<,10,,10,,31
"June 27, 2017",0.08,0.08,0.08,<,10,<,10,,10,<,10
"June 26, 2017",0,0,0.08,<,2,,2,<,2,<,2
"June 25, 2017",0,0.08,0.08,<,2,,2,<,2,,2
"June 24, 2017",0.08,0.08,0.08,<,10,,10,<,10,<,10
"June 23, 2017",0,0,0,<,2,,2,<,2,<,2
"June 22, 2017",0,0,0.13,,12,<,2,,7,,5
"June 21, 2017",0,0.13,0.16,<,10,,10,<,10,,10
"June 20, 2017",0.13,0.16,0.16,,122,<,10,<,10,<,10
"June 19, 2017",0.03,0.03,0.05,,10,<,10,,10,,10
"June 17, 2017",0.02,2.15,2.15,,149,,97,,46,,13
"June 16, 2017",2.13,2.13,2.13,<,2,,6,<,2,<,2
"June 15, 2017",0,0,0.53,,10,<,2,<,2,,6
"June 9, 2017",0,0,0.04,,12,,8,,6,,2
"June 8, 2017",0,0.04,0.84,,2,,18,,14,<,2
"June 2, 2017",0.01,0.17,0.23,,2,<,2,,4,,2
"June 1, 2017",0.16,0.22,0.22,,4,,6,<,2,<,2
"May 27, 2017",0,0.55,1.18,,8,,8,,17,,4
"May 26, 2017",0.55,1.18,1.18,,346,,700,,2500,,2230
"May 25, 2017",0.63,0.63,0.63,,18,,25,,64,,22
"September 4, 2016",0,0,0,<,10,,10,<,10,<,10
"September 3, 2016",0,0,0.02,,10,<,10,<,10,<,10
"September 2, 2016",0,0.02,0.02,,2,<,2,,57,,10
"September 1, 2016",0.02,0.02,0.02,,10,,7,<,2,,12
"August 31, 2016",0,0,0,,41,,10,<,10,<,10
"August 30, 2016",0,0,0,<,10,,84,<,10,,31
"August 29, 2016",0,0,0,<,10,<,10,<,10,,20
"August 28, 2016",0,0,0,,173,,216,,1110,,20
"August 27, 2016",0,0,0,,171,,10,,86,<,10
"August 26, 2016",0,0,0,,4,,4,,2,,8
"August 25, 2016",0,0,0,,18,,10,<,2,,4
"August 24, 2016",0,0,0.89,,31,,10,,41,,10
"August 23, 2016",0,0.89,0.9,<,10,<,10,<,10,,121
"August 22, 2016",0.89,0.9,0.9,,41,,10,,20,,31
"August 21, 2016",0.01,0.01,0.01,,6,<,2,,2,,3
"August 20, 2016",0,0,0,,22,,7,,6,<,2
"August 19, 2016",0,0,0,,2,,7,,4,<,2
"August 18, 2016",0,0,0,,49,,51,,18,,48
"August 17, 2016",0,0,0,,63,,10,,41,<,10
"August 16, 2016",0,0,0.18,,41,,10,<,10,,41
"August 15, 2016",0,0.18,0.52,<,10,<,10,,31,,10
"August 14, 2016",0.18,0.52,0.53,,74,,121,<,10,<,10
"August 13, 2016",0.34,0.35,0.35,,135,,231,,41,,108
"August 12, 2016",0.01,0.01,0.24,<,2,,4,,5,,4
"August 11, 2016",0,0.23,0.23,,10,,7,<,2,,12
"August 10, 2016",0.23,0.23,0.23,,20,<,10,,20,<,10
"August 9, 2016",0,0,0,,20,,10,,84,,10
"August 8, 2016",0,0,0.02,,20,,96,<,10,,31
"August 7, 2016",0,0.02,0.02,,84,<,10,,121,,373
"August 6, 2016",0.02,0.02,0.02,,52,,10,,52,,41
"August 5, 2016",0,0,0,,46,,27,,22,,43
"August 4, 2016",0,0,0.04,,71,,92,,67,,22
"August 3, 2016",0,0.04,0.04,,18,,6,,2,,5
"August 2, 2016",0.04,0.04,0.19,,10,,41,,20,<,10
"August 1, 2016",0,0.15,0.15,,175,,97,,10,,41
"July 31, 2016",0.15,0.15,0.21,,10,,20,<,10,<,10
"July 30, 2016",0,0.06,0.06,,10,,10,,10,,30
"July 29, 2016",0.06,0.06,0.06,,18,,12,,37,,6
"July 28, 2016",0,0,0,<,2,,24,,12,,10
"July 27, 2016",0,0,0,,31,,20,,52,,51
"July 26, 2016",0,0,0,<,10,<,10,,63,,121
"July 25, 2016",0,0,0,,20,,10,,20,,10
"July 24, 2016",0,0,0,,52,,10,,20,,63
"July 23, 2016",0,0,0,,197,<,10,,10,,213
"July 22, 2016",0,0,0,,48,,18,,20,,59
"July 21, 2016",0,0,0,,8,,18,,84,,35
"July 20, 2016",0,0,0.01,,20,,10,,63,,119
"July 19, 2016",0,0.01,0.01,,10,,97,,354,<,10
"July 18, 2016",0.01,0.01,0.01,,10,,10,,20,,20
"July 17, 2016",0,0,0,,20,<,10,,10,<,10
"July 16, 2016",0,0,0,<,10,,10,<,10,<,10
"July 15, 2016",0,0,0,,8,,2,,2,,2
"July 14, 2016",0,0,0,,7,,12,,8,,20
"July 13, 2016",0,0,0,,10,<,10,<,10,<,10
"July 12, 2016",0,0,0.09,,10,<,10,,20,,20
"July 11, 2016",0,0.09,0.2,<,10,<,10,<,10,,10
"July 10, 2016",0.09,0.2,0.22,,199,,882,,1870,,10
"July 9, 2016",0.11,0.13,0.13,,145,,30,,20,<,10
"July 8, 2016",0.02,0.02,0.02,,13,,64,,30,,4
"July 7, 2016",0,0,0.23,,5,,285,,2,,12
"July 6, 2016",0,0.23,0.23,<,2,,2,<,2,<,2
"July 5, 2016",0.23,0.23,0.23,,89,,108,,7,,22
"July 4, 2016",0,0,0,,20,,10,<,10,<,10
"July 3, 2016",0,0,0.2,,20,,10,,20,<,10
"July 2, 2016",0,0.2,0.2,,10,,52,<,10,<,10
"July 1, 2016",0.2,0.2,0.23,<,10,,52,,10,<,10
"June 30, 2016",0,0.03,0.11,,44,,48,,35,,35
"June 29, 2016",0.03,0.11,0.11,,10,,10,<,10,<,10
"June 28, 2016",0.08,0.08,0.08,,30,<,10,<,10,,20
"June 27, 2016",0,0,0,,10,<,10,<,10,,30
"June 26, 2016",0,0,0,<,10,,20,<,10,,10
"June 25, 2016",0,0,0,<,10,,20,,10,,10
"June 24, 2016",0,0,0,,43,,48,,35,,2
"June 23, 2016",0,0,0.02,,2,,2,,22,,11
"June 22, 2016",0,0.02,0.02,,51,,71,,4,,4
"June 21, 2016",0.02,0.02,0.02,,85,,85,,134,,10
"June 20, 2016",0,0,0,<,10,,20,<,10,,10
"June 19, 2016",0,0,0.12,,134,,63,,10,<,10
"June 18, 2016",0,0.12,0.12,,52,,31,,31,<,10
"June 17, 2016",0.12,0.12,0.12,,35,,84,,5,,2
"June 16, 2016",0,0,0,,8,,13,,8,,2
"June 15, 2016",0,0,0,<,10,<,10,,20,,31
"June 14, 2016",0,0,0,<,10,<,10,,10,,10
"June 13, 2016",0,0,0.02,<,10,,30,<,10,,10
"June 12, 2016",0,0.02,0.02,,2,,14,,5,,2
"June 11, 2016",0.02,0.02,0.02,<,2,,14,,2,<,2
"June 10, 2016",0,0,0,<,2,,2,,10,,4
"June 9, 2016",0,0,0.15,<,2,,4,,18,,13
"June 3, 2016",0,0,0,<,2,,13,,6,,
"June 2, 2016",0,0,0,,105,,141,,2,,11
"May 31, 2016",0,1.13,1.13,,2,,2,<,2,<,2
"May 26, 2016",0,0,0.26,<,2,,2,,13,<,2
"September 6, 2015",0,0,0,<,10,,10,<,10,,52
"September 5, 2015",0,0,0.01,,10,,31,<,10,,40
"September 4, 2015",0,0.01,0.01,,42,,57,,16,,22
"September 3, 2015",0.01,0.01,0.01,,4,,20,,15,,13
"September 2, 2015",0,0,0,<,2,<,2,,6,,4
"September 1, 2015",0,0,0,,2,,8,,4,,2
"August 31, 2015",0,0,0,,113,<,2,,12,,14
"August 30, 2015",0,0,0,<,10,,20,,10,,30
"August 29, 2015",0,0,0,,20,,41,,20,,134
"August 28, 2015",0,0,0,<,2,,5,,2,<,2
"August 27, 2015",0,0,0,,16,,21,,59,,8
"August 26, 2015",0,0,0,,158,,20,,30,,20
"August 25, 2015",0,0,0.02,,10,,10,,85,<,10
"August 24, 2015",0,0.02,0.02,,776,,538,,168,,228
"August 23, 2015",0.02,0.02,0.65,,121,,132,,134,,85
"August 22, 2015",0,0.63,0.63,,288,,213,,278,,259
"August 21, 2015",0.63,0.63,0.63,,29,,27,,18,,17
"August 20, 2015",0,0,0.14,,12,,4,,11,,4
"August 19, 2015",0,0.14,0.14,,10,,52,,20,,30
"August 18, 2015",0.14,0.14,0.14,<,10,,20,,31,,20
"August 17, 2015",0,0,0.08,,20,,30,,10,,20
"August 16, 2015",0,0.08,0.08,,41,<,10,,31,,30
"August 15, 2015",0.08,0.08,0.08,<,10,,10,<,10,,10
"August 14, 2015",0,0,0,<,2,,6,,2,<,2
"August 13, 2015",0,0,0.83,,30,,21,,15,,4
"August 12, 2015",0,0.83,0.83,,31,,63,,41,,52
"August 11, 2015",0.83,0.83,0.83,,41,,41,,74,,63
"August 10, 2015",0,0,0,,197,,86,,52,,31
"August 9, 2015",0,0,0,,20,,20,,106,,51
"August 8, 2015",0,0,0,,74,,74,,84,,74
"August 7, 2015",0,0,0,,6,,13,,2,,10
"August 6, 2015",0,0,0.49,,10,,2,,10,,18
"August 5, 2015",0,0.49,0.49,,132,,134,,2760,,2360
"August 4, 2015",0.49,0.49,0.49,,10,,51,,159,,41
"August 2, 2015",0,0,0,,6,,2,,6,,27
"August 1, 2015",0,0,0.02,<,2,<,2,,4,,8
"July 31, 2015",0,0.02,0.02,,10,,17,,27,,25
"July 30, 2015",0.02,0.02,0.02,,29,,22,,2,,5
"July 29, 2015",0,0,0.06,,110,,85,,31,,10
"July 28, 2015",0,0.06,0.06,,63,,203,,10,,10
"July 27, 2015",0.06,0.06,0.06,,120,,109,,63,,74
"July 26, 2015",0,0,0.01,,41,,52,,10,,41
"July 25, 2015",0,0.01,0.01,,158,,187,,10,,20
"July 24, 2015",0.01,0.01,0.01,,5,,8,,6,,32
"July 23, 2015",0,0,0,<,2,,2,,4,,17
"July 22, 2015",0,0,0,,629,,437,,404,,11200
"July 21, 2015",0,0,0,,185,<,10,,181,,20
"July 20, 2015",0,0,0.14,,63,,10,,41,,31
"July 19, 2015",0,0.14,0.14,,31,,31,,41,,10
"July 18, 2015",0.14,0.14,0.14,,1210,,448,,780,<,10
"July 16, 2015",0,0,0.03,,105,,57,,102,,18
"July 15, 2015",0,0.03,0.03,<,10,,31,<,10,<,10
"July 14, 2015",0.03,0.03,0.03,,10,<,10,,63,,20
"July 13, 2015",0,0,0,<,10,,52,<,10,,20
"July 12, 2015",0,0,1.12,,10,,10,,20,,20
"July 11, 2015",0,1.12,1.27,,10,,10,,10,,20
"July 10, 2015",1.12,1.27,1.27,,623,,654,,408,,392
"July 9, 2015",0.15,0.15,0.17,,94,,86,,62,,17
"July 8, 2015",0,0.02,0.02,<,10,,20,,10,,20
"July 7, 2015",0.02,0.02,0.02,<,10,,20,,31,,2990
"July 6, 2015",0,0,0,<,10,<,10,<,10,<,10
"July 5, 2015",0,0,0,,8,,4,,11,,2
"July 3, 2015",0,0,0.54,,20,,23,,2,,2
"July 2, 2015",0,0.54,0.54,,154,,30,,6,,8
"July 1, 2015",0.54,0.54,0.54,,10,,171,,443,,20
"June 30, 2015",0,0,1.43,,52,,10,,122,<,10
"June 29, 2015",0,1.43,1.63,,323,,169,,97,,20
"June 28, 2015",1.43,1.63,1.63,,4110,,5170,,20,,41
"June 27, 2015",0.2,0.2,0.2,<,10,,41,<,10,<,10
"June 26, 2015",0,0,0,,10,,15,,20,,13
"June 25, 2015",0,0,0.01,,49,,30,,12,,2
"June 24, 2015",0,0.01,0.01,,10,<,10,,20,,10
"June 23, 2015",0.01,0.01,1.73,<,10,,63,,20,,20
"June 22, 2015",0,1.72,1.76,,73,,74,,262,,1300
"June 21, 2015",1.72,1.76,1.76,<,10,<,10,,20,,10
"June 20, 2015",0.04,0.04,0.04,,20,,20,,10,,10
"June 19, 2015",0,0,0,<,2,,5,,6,<,2
"June 18, 2015",0,0,0,<,2,,6,<,2,<,2
"June 17, 2015",0,0,0.4,,8,,23,,2,,10
"June 16, 2015",0,0.4,0.4,,20,,86,,63,,31
"June 15, 2015",0.4,0.4,0.4,,10,,10,<,10,<,10
"June 14, 2015",0,0,0,<,10,<,10,<,10,<,10
"June 13, 2015",0,0,0,<,10,,10,<,10,<,10
"June 12, 2015",0,0,0,<,2,,2,,5,,5
"June 11, 2015",0,0,0,,2,,5,,4,,2
"June 4, 2015",0,0,0.74,,7,,43,,2,<,2
"May 28, 2015",0,0,0,<,2,<,2,<,2,,4
"May 21, 2015",0,0,0.27,<,2,<,2,,2,<,2
"August 31, 2014",0.54,0.54,0.54,,20,<,10,,10,<,10
"August 30, 2014",0,0,0,<,10,<,10,<,10,,20
"August 29, 2014",0,0,0.02,<,2,<,2,<,2,<,2
"August 28, 2014",0,0.02,0.02,,10,,7,,12,,8
"August 27, 2014",0.02,0.02,0.02,<,2,,18,<,2,,2
"August 26, 2014",0,0,0,,2,,4,<,2,<,2
"August 25, 2014",0,0,0,,10,,10,<,10,,52
"August 24, 2014",0,0,0.08,<,10,<,10,<,10,<,10
"August 23, 2014",0,0.08,0.08,,52,<,10,,10,,10
"August 22, 2014",0.08,0.08,0.08,,28,,22,,25,,67
"August 21, 2014",0,0,0,<,2,,2,,12,<,2
"August 20, 2014",0,0,0,<,10,,10,,10,,52
"August 19, 2014",0,0,0,,41,,41,,20,,52
"August 18, 2014",0,0,0,,30,,63,,63,,31
"August 17, 2014",0,0,0,<,10,,10,<,10,,10
"August 16, 2014",0,0,0,,31,,20,,41,<,10
"August 15, 2014",0,0,1.06,,246,,269,,8,,12
"August 14, 2014",0,1.06,1.06,,146,,162,,254,,138
