"Pleasure Bay Beach, South Boston: Bacterial Water Quality",,,,,,,,,
,,,,Pleasure Bay @ Broadway,,Pleasure Bay @ Flagpole,,Castle Island Playground,
"August 6, 2006",0,0,0.31,<,5,,,,
"August 5, 2006",0,0.31,0.31,,35,,,,
"August 4, 2006",0.31,0.31,0.31,,62,,,,
"August 3, 2006",0,0,0.02,<,2,,,,
"August 2, 2006",0,0.02,0.02,,10,,,,
"August 1, 2006",0.02,0.02,0.02,<,5,,,,
"July 31, 2006",0,0,0,<,5,,,,
"July 30, 2006",0,0,0.29,,5,,,,
"July 29, 2006",0,0.29,0.29,<,5,,,,
"July 28, 2006",0.29,0.29,0.29,,40,,,,
"July 27, 2006",0,0,0,,4,,,,
"July 26, 2006",0,0,0,<,5,,,,
"July 25, 2006",0,0,0.11,,5,,,,
"July 24, 2006",0,0.11,0.23,<,5,,,,
"July 23, 2006",0.11,0.23,1.52,,20,,,,
"July 22, 2006",0.12,1.41,1.41,,100,,,,
"July 21, 2006",1.29,1.29,1.48,,8,,,,
"July 20, 2006",0,0.19,0.41,<,2,,,,
"July 19, 2006",0.19,0.41,0.41,,5,,,,
"July 18, 2006",0.22,0.22,0.22,<,5,,,,
"July 17, 2006",0,0,0,<,5,,,,
"July 16, 2006",0,0,0,,10,,,,
"July 15, 2006",0,0,0.17,,5,,,,
"July 14, 2006",0,0.17,1.19,,29,,,,
"July 13, 2006",0.17,1.19,1.21,,43,,,,
"July 12, 2006",1.02,1.04,1.04,<,5,,,,
"July 11, 2006",0.02,0.02,0.02,<,5,,,,
"July 10, 2006",0,0,0,<,5,,,,
"July 9, 2006",0,0,0,<,5,,,,
"July 8, 2006",0,0,0.15,<,5,,,,
"July 7, 2006",0,0.15,0.15,,28,,,,
"July 6, 2006",0.15,0.15,0.15,,4,,,,
"July 5, 2006",0,0,0,<,5,,,,
"July 4, 2006",0,0,0,,5,,,,
"July 3, 2006",0,0,0,<,5,,,,
"July 2, 2006",0,0,0.13,<,5,,,,
"July 1, 2006",0,0.13,0.13,,5,,,,
"June 29, 2006",0,0.05,0.05,,10,,,,
"June 27, 2006",0,0,0.95,<,2,,,,
"June 22, 2006",0,0,0.37,,2,,,,
"June 15, 2006",0.1,0.1,0.1,,10,,,,
"June 12, 2006",0,0,0.43,<,2,,,,
"June 5, 2006",0,0.3,2.21,,11,,,,
"June 1, 2006",0.12,0.12,0.12,<,2,,,,
"September 2, 2005",0,0.19,0.22,,6,,,,
"August 25, 2005",0,0,0,<,2,,,,
"August 21, 2005",0.02,0.02,0.02,<,5,,,,
"August 20, 2005",0,0,0,,10,,,,
"August 18, 2005",0,0,0,,2,,,,
"August 17, 2005",0,0,0.13,<,5,,,,
"August 16, 2005",0,0.13,0.73,,10,,,,
"August 15, 2005",0.13,0.73,0.8,,230,,,,
"August 14, 2005",0.6,0.67,0.67,<,5,,,,
"August 13, 2005",0.07,0.07,0.3,,5,,,,
"August 12, 2005",0,0.23,0.23,,12,,,,
"August 10, 2005",0,0.02,0.02,,20,,,,
"August 9, 2005",0.02,0.02,0.02,<,5,,,,
"August 8, 2005",0,0,0,,5,,,,
"August 7, 2005",0,0,0.55,<,5,,,,
"August 6, 2005",0,0.55,0.55,<,5,,,,
"August 4, 2005",0,0,0.01,<,2,,,,
"August 3, 2005",0,0.01,0.57,,5,,,,
"August 2, 2005",0.01,0.57,0.57,,60,,,,
"August 1, 2005",0.56,0.56,0.56,,35,,,,
"July 31, 2005",0,0,0,,5,,,,
"July 30, 2005",0,0,0,<,5,,,,
"July 29, 2005",0,0,0,,32,,,,
"July 28, 2005",0,0,0,,2,,,,
"July 27, 2005",0,0,0,<,5,,,,
"July 26, 2005",0,0,0,,5,,,,
"July 25, 2005",0,0,0,<,5,,,,
"July 24, 2005",0,0,0.15,,5,,,,
"July 23, 2005",0,0.15,0.15,,10,,,,
"July 22, 2005",0.15,0.15,0.15,,2,,,,
"July 21, 2005",0,0,0,<,2,,,,
"July 20, 2005",0,0,0.03,<,5,,,,
"July 19, 2005",0,0.03,0.03,<,5,,,,
"July 18, 2005",0.03,0.03,0.03,<,5,,,,
"July 17, 2005",0,0,0,<,5,,,,
"July 16, 2005",0,0,0,,35,,,,
"July 15, 2005",0,0,0,<,2,,,,
"July 13, 2005",0,0,0,,19500,,,,
"July 12, 2005",0,0,0,<,5,,,,
"July 11, 2005",0,0,0.2,<,5,,,,
"July 10, 2005",0,0.2,1.15,<,5,,,,
"July 9, 2005",0.2,1.15,1.15,<,10,,,,
"July 6, 2005",2.04,2.04,2.04,,20,,,,
"July 5, 2005",0,0,0,<,5,,,,
"July 4, 2005",0,0,0,,5,,,,
"July 3, 2005",0,0,0,,5,,,,
"July 2, 2005",0,0,0,<,5,,,,
"July 1, 2005",0,0,0,<,2,,,,
"June 30, 2005",0,0,0,<,2,,,,
"June 24, 2005",0,0,0.03,<,2,,,,
"June 23, 2005",0,0.03,0.03,,2,,,,
"June 17, 2005",0.01,0.14,0.2,,14,,,,
"June 16, 2005",0.13,0.19,0.19,<,2,,,,
"September 3, 2004",0,0,0,,2,,,,
"September 2, 2004",0,0,0.17,,6,,,,
"August 27, 2004",0,0,0,,2,,,,
"August 26, 2004",0,0,0,,2,,,,
"August 21, 2004",1.05,1.16,1.16,,25,,,,
"August 20, 2004",0.11,0.11,0.11,<,2,,,,
"August 19, 2004",0,0,0.03,,12,,,,
"August 18, 2004",0,0.03,0.16,,120,,,,
"August 17, 2004",0.03,0.16,1.17,<,5,,,,
"August 16, 2004",0.13,1.14,1.15,,15,,,,
"August 15, 2004",1.01,1.02,1.82,,110,,,,
"August 14, 2004",0.01,0.81,1.36,<,5,,,,
"August 13, 2004",0.8,1.35,1.35,,1000,,,,
"August 12, 2004",0.55,0.55,0.55,<,2,,,,
"August 11, 2004",0,0,0,<,5,,,,
"August 10, 2004",0,0,0,,5,,,,
"August 9, 2004",0,0,0,<,5,,,,
"August 8, 2004",0,0,0,<,5,,,,
"August 7, 2004",0,0,0.34,<,5,,,,
"August 6, 2004",0,0.34,0.34,,10,,,,
"August 5, 2004",0.34,0.34,0.34,,12,,,,
"August 4, 2004",0,0,0,<,5,,,,
"August 3, 2004",0,0,0,<,5,,,,
"August 2, 2004",0,0,0,<,5,,,,
"August 1, 2004",0,0,0,,15,,,,
"July 31, 2004",0,0,0,<,5,,,,
"July 30, 2004",0,0,0.21,,8,,,,
"July 29, 2004",0,0.21,0.27,,24,,,,
"July 28, 2004",0.21,0.27,0.27,,15,,,,
"July 27, 2004",0.06,0.06,0.06,<,5,,,,
"July 26, 2004",0,0,1.2,<,5,,,,
"July 25, 2004",0,1.2,1.2,,5,,,,
"July 23, 2004",0,0,0,,108,,,,
"July 22, 2004",0,0,0,,18,,,,
"July 21, 2004",0,0,0.04,<,5,,,,
"July 20, 2004",0,0.04,0.04,,5,,,,
"July 19, 2004",0.04,0.04,0.04,<,5,,,,
"July 18, 2004",0,0,0,<,5,,,,
"July 17, 2004",0,0,0,,5,,,,
"July 16, 2004",0,0,0.44,<,2,,,,
"July 15, 2004",0,0.44,0.61,,30,,,,
"July 14, 2004",0.44,0.61,0.61,,5,,,,
"July 13, 2004",0.17,0.17,0.17,,5,,,,
"July 12, 2004",0,0,0,,50,,,,
"July 11, 2004",0,0,0,,5,,,,
"July 10, 2004",0,0,0.06,,5,,,,
"July 9, 2004",0,0.06,0.06,,56,,,,
"July 8, 2004",0.06,0.06,0.06,,20,,,,
"July 7, 2004",0,0,0.88,,10,,,,
"July 6, 2004",0,0.88,0.88,,175,,,,
"July 5, 2004",0.88,0.88,0.88,,10,,,,
"July 2, 2004",0.7,0.81,0.81,,6,,,,
"July 1, 2004",0.11,0.11,0.15,<,2,,,,
"June 25, 2004",0.2,0.2,0.2,,10,,,,
"June 24, 2004",0,0,0,,2,,,,
"June 18, 2004",0.09,0.1,0.1,,4,,,,
"June 17, 2004",0.01,0.01,0.01,,4,,,,
"August 29, 2003",0,0,0,,28,,,,
"August 28, 2003",0,0,0,,6,,,,
"August 23, 2003",0,0.07,0.07,,5,,,,
"August 22, 2003",0.07,0.07,0.07,,2,,,,
"August 21, 2003",0,0,0,,2,,,,
"August 20, 2003",0,0,0,,5,,,,
"August 19, 2003",0,0,0.03,<,5,,,,
"August 18, 2003",0,0.03,0.03,,5,,,,
"August 17, 2003",0.03,0.03,0.03,<,5,,,,
"August 16, 2003",0,0,0,,25,,,,
"August 15, 2003",0,0,0.05,,36,,,,
"August 14, 2003",0,0.05,0.09,,28,,,,
"August 13, 2003",0.05,0.09,0.09,<,5,,,,
"August 12, 2003",0.04,0.04,0.25,,45,,,,
"August 11, 2003",0,0.21,0.22,<,5,,,,
"August 10, 2003",0.21,0.22,1.11,,5,,,,
"August 9, 2003",0.01,0.9,1.25,<,5,,,,
"August 8, 2003",0.89,1.24,1.24,,420,,,,
"August 7, 2003",0.35,0.35,0.36,,48,,,,
"August 6, 2003",0,0.01,0.25,<,5,,,,
"August 5, 2003",0.01,0.25,0.41,,5,,,,
"August 4, 2003",0.24,0.4,0.45,,5,,,,
"August 3, 2003",0.16,0.21,1.06,<,5,,,,
"August 2, 2003",0.05,0.9,0.9,<,5,,,,
"August 1, 2003",0.85,0.85,0.85,,20,,,,
"July 31, 2003",0,0,0,,6,,,,
"July 30, 2003",0,0,0,<,5,,,,
"July 29, 2003",0,0,0,<,5,,,,
"July 28, 2003",0,0,0,<,5,,,,
"July 27, 2003",0,0,0,<,5,,,,
"July 26, 2003",0,0,0.23,<,5,,,,
"July 25, 2003",0,0.23,0.86,,20,,,,
"July 24, 2003",0.23,0.86,1.18,,4,,,,
"July 23, 2003",0.63,0.95,0.95,,15,,,,
"July 21, 2003",0,0,0.43,<,5,,,,
"July 20, 2003",0,0.43,0.6,<,5,,,,
"July 19, 2003",0.43,0.6,0.6,<,5,,,,
"July 18, 2003",0.17,0.17,0.19,,14,,,,
"July 17, 2003",0,0.02,0.02,,100,,,,
"July 16, 2003",0.02,0.02,0.02,<,5,,,,
"July 15, 2003",0,0,0,<,5,,,,
"July 14, 2003",0,0,0,<,5,,,,
"July 13, 2003",0,0,0.21,<,5,,,,
"July 12, 2003",0,0.21,0.21,,5,,,,
"July 11, 2003",0.21,0.21,0.31,,82,,,,
"July 10, 2003",0,0.1,0.1,,16,,,,
"July 9, 2003",0.1,0.1,0.1,,25,,,,
"July 8, 2003",0,0,0,<,5,,,,
"July 7, 2003",0,0,0,<,5,,,,
"July 2, 2003",0,0,0,,2,,,,
"July 1, 2003",0,0,0,,6,,,,
"June 27, 2003",0,0,0,,10,,,,
"June 26, 2003",0,0,0,,56,,,,
"June 24, 2003",0,0.03,1.79,,48,,,,
"June 20, 2003",0,0,0.16,,78,,,,
"September 19, 2002",0,0,0,,2,,,,
"September 12, 2002",0,0,0,,82,,,,
"September 5, 2002",0,0.35,0.74,,24,,,,
"August 30, 2002",0.05,0.89,0.89,,26,,,,
"August 29, 2002",0.84,0.84,0.84,,2,,,,
"August 23, 2002",0.02,0.49,0.49,<,2,,,,
"August 22, 2002",0.47,0.47,0.81,<,2,,,,
"August 21, 2002",0,0.34,0.34,<,5,,,,
"August 20, 2002",0.34,0.34,0.34,,15,,,,
"August 19, 2002",0,0,0,<,5,,,,
"August 18, 2002",0,0,0.02,<,5,,,,
"August 17, 2002",0,0.02,0.02,,10,,,,
"August 16, 2002",0.02,0.02,0.02,,2,,,,
"August 15, 2002",0,0,0,,2,,,,
"August 14, 2002",0,0,0,<,5,,,,
"August 13, 2002",0,0,0,,100,,,,
"August 12, 2002",0,0,0,,5,,,,
"August 11, 2002",0,0,0,,20,,,,
"August 10, 2002",0,0,0,<,5,,,,
"August 9, 2002",0,0,0,<,2,,,,
"August 8, 2002",0,0,0,,2,,,,
"August 7, 2002",0,0,0,,5,,,,
"August 6, 2002",0,0,0,,10,,,,
"August 5, 2002",0,0,0,<,5,,,,
"August 4, 2002",0,0,0.11,<,5,,,,
"August 3, 2002",0,0.11,0.11,<,5,,,,
"August 2, 2002",0.11,0.11,0.11,<,2,,,,
"August 1, 2002",0,0,0,<,2,,,,
"July 31, 2002",0,0,0,<,5,,,,
"July 30, 2002",0,0,0.02,<,5,,,,
"July 29, 2002",0,0.02,0.09,,5,,,,
"July 28, 2002",0.02,0.09,0.09,,20,,,,
"July 27, 2002",0.07,0.07,0.07,<,5,,,,
"July 26, 2002",0,0,0,<,2,,,,
"July 25, 2002",0,0,0.46,<,2,,,,
"July 24, 2002",0,0.46,0.46,,5,,,,
"July 23, 2002",0.46,0.46,0.46,<,5,,,,
"July 22, 2002",0,0,0,,5,,,,
"July 21, 2002",0,0,0.2,<,5,,,,
"July 20, 2002",0,0.2,0.2,,20,,,,
"July 19, 2002",0.2,0.2,0.2,,90,,,,
"July 18, 2002",0,0,0,,4,,,,
"July 17, 2002",0,0,0.05,<,5,,,,
"July 16, 2002",0,0.05,0.05,,10,,,,
"July 15, 2002",0.05,0.05,0.05,,5,,,,
"July 14, 2002",0,0,0,,20,,,,
"July 13, 2002",0,0,0,<,5,,,,
"July 12, 2002",0,0,0.01,,2,,,,
"July 11, 2002",0,0.01,0.62,,4,,,,
"July 10, 2002",0.01,0.62,0.62,<,5,,,,
"July 9, 2002",0.61,0.61,0.61,,5,,,,
"July 8, 2002",0,0,0,<,5,,,,
"July 7, 2002",0,0,0,<,5,,,,
"July 6, 2002",0,0,0,,5,,,,
"July 5, 2002",0,0,0,<,2,,,,
"July 3, 2002",0,0,0,<,5,,,,
"July 2, 2002",0,0,0,,5,,,,
"July 1, 2002",0,0,0,,90,,,,
"June 28, 2002",0.01,1.33,1.33,,20,,,,
"June 27, 2002",1.32,1.32,1.32,,22,,,,
"June 20, 2002",0,0.02,0.02,,68,,,,
"June 6, 2002",0.79,1.02,1.02,,4,,,,
"September 20, 2001",0.01,0.01,0.01,,28,,,,
"September 13, 2001",0.05,0.05,0.05,,2,,,,
"September 6, 2001",0,0,0.1,<,2,,,,
"September 3, 2001",0,0,0.02,,5,,,,
"September 2, 2001",0,0.02,0.02,<,5,,,,
"September 1, 2001",0.02,0.02,0.02,,5,,,,
"August 31, 2001",0,0,0,,6,,,,
"August 30, 2001",0,0,0,,2,,,,
"August 29, 2001",0,0,0.1,,10,,,,
"August 28, 2001",0,0.1,0.1,,10,,,,
"August 27, 2001",0.1,0.1,0.1,<,5,,,,
"August 26, 2001",0,0,0,,5,,,,
"August 25, 2001",0,0,0,<,5,,,,
"August 24, 2001",0,0,0,,40,,,,
"August 22, 2001",0,0,0.3,,10,,,,
"August 21, 2001",0,0.3,0.3,,155,,,,
"August 20, 2001",0.3,0.3,0.3,,735,,,,
"August 19, 2001",0,0,0.17,,155,,,,
"August 18, 2001",0,0.17,0.17,<,5,,,,
"August 17, 2001",0.17,0.17,0.17,,10,,,,
"August 16, 2001",0,0,0,,40,,,,
"August 15, 2001",0,0,0.36,,30,,,,
"August 14, 2001",0,0.36,1.48,,30,,,,
"August 13, 2001",0.36,1.48,1.48,,5,,,,
"August 12, 2001",1.12,1.12,1.6,,2150,,,,
"August 11, 2001",0,0.48,0.48,<,5,,,,
"August 10, 2001",0.48,0.48,0.48,,34,,,,
"August 9, 2001",0,0,0,,24,,,,
"August 8, 2001",0,0,0,,10,,,,
"August 7, 2001",0,0,0,,5,,,,
"August 6, 2001",0,0,0.04,<,5,,,,
"August 5, 2001",0,0.04,1.61,<,5,,,,
"August 4, 2001",0.04,1.61,1.61,,90,,,,
"August 3, 2001",1.57,1.57,1.57,,8,,,,
"August 2, 2001",0,0,0,,2,,,,
"August 1, 2001",0,0,0,,10,,,,
"July 31, 2001",0,0,0,<,5,,,,
"July 30, 2001",0,0,0,<,5,,,,
"July 29, 2001",0,0,0,<,5,,,,
"July 28, 2001",0,0,0.21,<,5,,,,
"July 27, 2001",0,0.21,0.21,,14,,,,
"July 26, 2001",0.21,0.21,0.21,<,2,,,,
"July 25, 2001",0,0,0,,30,,,,
"July 24, 2001",0,0,0,<,5,,,,
"July 23, 2001",0,0,0,,15,,,,
"July 22, 2001",0,0,0,,140,,,,
"July 21, 2001",0,0,0,,5,,,,
"July 20, 2001",0,0,0,,2,,,,
"July 19, 2001",0,0,0.3,,4,,,,
"July 18, 2001",0,0.3,0.3,<,5,,,,
"July 17, 2001",0.3,0.3,0.3,,25,,,,
"July 16, 2001",0,0,0,<,5,,,,
"July 15, 2001",0,0,0,<,5,,,,
"July 14, 2001",0,0,0.02,<,5,,,,
"July 13, 2001",0,0.02,0.03,,6,,,,
"July 12, 2001",0.02,0.03,0.24,,2,,,,
"July 11, 2001",0.01,0.22,0.22,,5,,,,
"July 10, 2001",0.21,0.21,0.3,<,5,,,,
"July 9, 2001",0,0.09,0.09,<,5,,,,
"July 8, 2001",0.09,0.09,0.09,<,5,,,,
"July 7, 2001",0,0,0.62,<,5,,,,
"July 6, 2001",0,0.62,0.62,<,2,,,,
"July 5, 2001",0.62,0.62,0.62,<,2,,,,
"July 4, 2001",0,0,0,,15,,,,
"July 3, 2001",0,0,0.67,<,5,,,,
"July 2, 2001",0,0.67,1.64,,15,,,,
"July 1, 2001",0.67,1.64,1.64,,5,,,,
"June 30, 2001",0.97,0.97,0.97,,5,,,,
"June 29, 2001",0,0,0,,2,,,,
"June 28, 2001",0,0,0,<,2,,,,
"June 27, 2001",0,0,0,,90,,,,
"June 26, 2001",0,0,0.04,<,10,,,,
"June 25, 2001",0,0.04,0.46,,10,,,,
"June 24, 2001",0.04,0.46,0.46,<,10,,,,
"June 23, 2001",0.42,0.42,0.42,,40,,,,
"June 22, 2001",0,0,0.32,,178,,,,
"June 21, 2001",0,0.32,0.32,,20,,,,
"June 14, 2001",0,0,0.12,,2,,,,
"June 7, 2001",0,0,0,,4,,,,
"May 31, 2001",0,0.01,0.01,,4,,,,
"May 24, 2001",0.34,0.37,0.86,<,2,,,,
