"Constitution Beach, East Boston: Bacterial Water Quality",,,,,,,,,
,,,,North,,Middle,,South,
"July 1, 2019",0,0.16,1.81,,52,,110,,108
"June 30, 2019",0.16,1.81,1.81,,275,,262,,201
"June 29, 2019",1.65,1.65,1.65,<,10,,10,<,10
"June 28, 2019",0,0,0,,8,,12,,7
"June 27, 2019",0,0,0.13,,62,,12,,10
"June 26, 2019",0,0.13,0.13,<,10,<,10,<,10
"June 25, 2019",0.13,0.13,0.13,,10,<,10,<,10
"June 24, 2019",0,0,0,,173,,132,,10
"June 23, 2019",0,0,1.19,,10,,20,<,10
"June 22, 2019",0,1.19,1.56,,20,,20,,10
"June 21, 2019",1.19,1.56,1.56,>,2600,,2600,>,2600
"June 20, 2019",0.37,0.37,0.47,<,2,,4,,4
"June 19, 2019",0,0.1,0.1,,8,,6,,6
"June 18, 2019",0.1,0.1,0.21,<,10,<,10,<,10
"June 17, 2019",0,0.11,0.11,<,10,,20,<,10
"June 16, 2019",0.11,0.11,0.11,,10,<,10,<,10
"June 15, 2019",0,0,0.63,<,10,<,10,<,10
"June 14, 2019",0,0.63,0.63,,57,,35,,30
"June 13, 2019",0.63,0.63,1.16,,5,,8,,12
"June 7, 2019",0,0.01,0.06,,4,,2,,4
"June 6, 2019",0.01,0.06,0.06,<,2,,4,,8
"May 31, 2019",0.07,0.3,0.3,<,2,<,2,,2
"May 30, 2019",0.23,0.23,0.53,,2,,6,<,2
"May 24, 2019",0,0.12,0.12,,49,,6,,2
"May 23, 2019",0.12,0.12,0.12,,6,<,2,,2
"September 2, 2018",0,0,0,<,10,<,10,,10
"September 1, 2018",0,0,0,<,10,<,10,<,10
"August 31, 2018",0,0,0,,29,<,2,<,2
"August 30, 2018",0,0,0,,5,,12,,15
"August 29, 2018",0,0,0,,594,,62,<,10
"August 28, 2018",0,0,0,,10,<,10,,31
"August 27, 2018",0,0,0,,10,,20,,10
"August 26, 2018",0,0,0,,10,,63,,10
"August 25, 2018",0,0,0,,10,,20,,20
"August 24, 2018",0,0,0.5,,5,,12,,6
"August 23, 2018",0,0.5,0.5,,17,,6,,8
"August 22, 2018",0.5,0.5,0.5,,10,<,10,,20
"August 21, 2018",0,0,0.01,<,10,<,10,,10
"August 20, 2018",0,0.01,0.14,<,10,<,10,<,10
"August 19, 2018",0.01,0.14,0.34,<,10,<,10,,10
"August 18, 2018",0.13,0.33,0.33,<,10,<,10,,20
"August 17, 2018",0.2,0.2,0.2,,2,,2,,2
"August 16, 2018",0,0,0.01,,2,,2,,6
"August 15, 2018",0,0.01,0.3,,419,<,10,,10
"August 14, 2018",0.01,0.3,1.68,,22,,10,,18
"August 13, 2018",0.29,1.67,2.06,,58,,35,,54
"August 12, 2018",1.38,1.77,1.77,,2500,>,2600,>,2600
"August 11, 2018",0.39,0.39,0.45,,52,,30,,156
"August 10, 2018",0,0.06,1.04,,30,,23,,46
"August 9, 2018",0.06,1.04,1.04,,4,,2,,2
"August 8, 2018",0.98,0.98,0.98,,10,,10,,10
"August 7, 2018",0,0,0,,10,<,10,,10
"August 6, 2018",0,0,0.64,<,10,<,10,<,10
"August 5, 2018",0,0.64,0.7,,10,,10,,10
"August 4, 2018",0.64,0.7,0.7,<,10,<,10,<,10
"August 3, 2018",0.06,0.06,0.06,<,2,,2,,4
"August 2, 2018",0,0,0,,2,<,2,,2
"August 1, 2018",0,0,0,<,10,<,10,,10
"July 31, 2018",0,0,0,,441,,521,<,10
"July 30, 2018",0,0,0,,479,,41,<,10
"July 29, 2018",0,0,0,<,10,,10,<,10
"July 28, 2018",0,0,0.6,,31,,63,,20
"July 27, 2018",0,0.6,0.74,,21,,81,,15
"July 26, 2018",0.6,0.74,0.74,,15,,12,,21
"July 25, 2018",0.14,0.14,0.17,,10,<,10,<,10
"July 24, 2018",0,0.03,0.2,<,10,<,10,,20
"July 23, 2018",0.03,0.2,0.2,,52,,20,<,10
"July 22, 2018",0.17,0.17,0.17,,10,<,10,<,10
"July 21, 2018",0,0,0,,10,<,10,<,10
"July 20, 2018",0,0,0.06,,2,,2,,8
"July 19, 2018",0,0.06,2.74,,10,<,2,,6
"July 18, 2018",0.06,2.74,2.74,,226,,301,,305
"July 17, 2018",2.68,2.68,2.69,,20,,10,<,10
"July 16, 2018",0,0.01,0.32,<,10,,10,<,10
"July 15, 2018",0.01,0.32,0.32,,20,,23,,40
"July 14, 2018",0.31,0.31,0.31,<,2,,5,,2
"July 13, 2018",0,0,0.19,,12,,6,,4
"July 12, 2018",0,0.19,0.19,,10,,0,,7
"July 11, 2018",0.19,0.19,0.19,<,10,<,10,<,10
"July 10, 2018",0,0,0,<,10,<,10,<,10
"July 9, 2018",0,0,0,<,10,<,10,<,10
"July 8, 2018",0,0,0.35,<,10,<,10,<,10
"July 7, 2018",0,0.35,0.35,<,10,<,10,<,10
"July 6, 2018",0.35,0.35,0.35,<,2,,2,,2
"July 5, 2018",0,0,0.01,<,2,<,2,<,2
"July 4, 2018",0,0.01,0.01,,10,<,10,<,10
"July 3, 2018",0.01,0.01,0.01,<,10,<,10,<,10
"July 2, 2018",0,0,0,<,10,<,10,<,10
"July 1, 2018",0,0,0,,145,<,10,<,10
"June 30, 2018",0,0,1.16,,52,,97,,20
"June 29, 2018",0,1.16,1.25,,13,,8,,8
"June 28, 2018",1.16,1.25,1.25,,140,,185,,277
"June 27, 2018",0.09,0.09,0.42,,10,,31,<,10
"June 26, 2018",0,0.33,0.59,,10,<,10,<,10
"June 25, 2018",0.33,0.59,0.59,,10,,41,,52
"June 24, 2018",0.26,0.26,0.26,<,10,<,10,<,10
"June 23, 2018",0,0,0,<,10,<,10,,10
"June 22, 2018",0,0,0,<,2,<,2,,2
"June 21, 2018",0,0,0.01,<,2,<,2,<,2
"June 20, 2018",0,0.01,0.14,<,10,<,10,,10
"June 19, 2018",0.01,0.14,0.14,,10,<,10,<,10
"June 18, 2018",0.13,0.13,0.13,,10,,31,,52
"June 17, 2018",0,0,0,<,2,<,2,<,2
"June 16, 2018",0,0,0,,2,,2,<,2
"June 15, 2018",0,0,0,,10,,4,,2
"June 14, 2018",0,0,0,<,2,,10,<,2
"June 13, 2018",0,0,0,<,2,<,2,<,2
"June 12, 2018",0,0,0,,2,,2,<,2
"June 11, 2018",0,0,0,<,2,,4,<,2
"June 10, 2018",0,0,0,<,2,<,2,,14
"June 9, 2018",0,0,0,,2,<,2,<,2
"June 8, 2018",0,0,0,<,2,<,2,<,2
"June 7, 2018",0,0,0.34,<,2,<,2,<,2
"June 1, 2018",0.01,0.01,0.01,,2,,18,,18
"May 31, 2018",0,0,0,,2,,2,,4
"May 25, 2018",0,0,0.02,,2,,2,,2
"May 24, 2018",0,0.02,0.05,<,2,<,2,<,2
"September 3, 2017",0.28,0.28,0.28,,20,<,10,,10
"September 2, 2017",0,0,0,,10,<,10,,20
"September 1, 2017",0,0,0.07,,2,,2,,5
"August 31, 2017",0,0.07,0.07,<,2,,6,,7
"August 30, 2017",0.07,0.07,0.07,<,10,,98,,110
"August 29, 2017",0,0,0,,10,,10,,10
"August 28, 2017",0,0,0,,20,<,10,<,10
"August 27, 2017",0,0,0,<,10,,10,,10
"August 26, 2017",0,0,0,<,10,,10,<,10
"August 25, 2017",0,0,0.04,,8,<,2,,7
"August 24, 2017",0,0.04,0.04,,16,,37,<,2
"August 23, 2017",0.04,0.04,0.04,,20,,20,,63
"August 22, 2017",0,0,0,<,10,,31,,10
"August 21, 2017",0,0,0.01,<,10,<,10,<,10
"August 20, 2017",0,0.01,0.25,<,10,<,10,<,10
"August 19, 2017",0.01,0.25,0.25,,10,,31,,10
"August 18, 2017",0.24,0.24,0.24,,32,,13,,10
"August 17, 2017",0,0,0,,4,,4,,3
"August 16, 2017",0,0,0,<,10,<,10,<,10
"August 15, 2017",0,0,0,<,10,<,10,,10
"August 14, 2017",0,0,0.1,<,10,<,10,<,10
"August 13, 2017",0,0.1,0.1,<,10,<,10,<,10
"August 12, 2017",0.1,0.1,0.1,,521,,439,,20
"August 11, 2017",0,0,0,,12,,2,,17
"August 10, 2017",0,0,0,,15,,4,,5
"August 9, 2017",0,0,0,<,10,<,10,<,10
"August 8, 2017",0,0,0,<,10,,10,,20
"August 7, 2017",0,0,0.16,<,10,<,10,,10
"August 6, 2017",0,0.16,0.16,,10,,31,<,10
"August 5, 2017",0.16,0.16,0.16,,10,,31,,52
"August 4, 2017",0,0,0.96,,20,,10,,3
"August 3, 2017",0,0.96,0.96,,76,,79,,62
"August 2, 2017",0.96,0.96,0.96,<,10,<,10,,10
"August 1, 2017",0,0,0,,20,,20,,10
"July 31, 2017",0,0,0,<,10,<,10,<,10
"July 30, 2017",0,0,0,<,10,<,10,<,10
"July 29, 2017",0,0,0.04,,10,,20,,10
"July 28, 2017",0,0.04,0.04,,6,,4,,28
"July 27, 2017",0.04,0.04,0.05,,2,,2,,2
"July 26, 2017",0,0.01,1.42,,161,,86,,30
"July 25, 2017",0.01,1.42,1.42,,23,,12,,24
"July 24, 2017",1.41,1.41,1.41,,8,,8,,2
"July 23, 2017",0,0,0,<,10,<,10,<,10
"July 22, 2017",0,0,0,,20,<,10,,10
"July 21, 2017",0,0,0,,23,,10,,7
"July 20, 2017",0,0,0.12,,18,,25,,10
"July 19, 2017",0,0.12,0.12,,10,,10,,10
"July 18, 2017",0.12,0.12,0.12,,41,<,10,<,10
"July 17, 2017",0,0,0,,41,<,10,,20
"July 16, 2017",0,0,0,,10,,20,<,10
"July 15, 2017",0,0,0.14,,52,,173,,31
"July 14, 2017",0,0.14,1.47,,40,,51,,73
"July 13, 2017",0.14,1.47,1.64,,140,,170,,469
"July 12, 2017",1.33,1.5,1.5,,74,,158,<,10
"July 11, 2017",0.17,0.17,0.17,,331,,10,,10
"July 10, 2017",0,0,0.4,,86,,31,,63
"July 9, 2017",0,0.4,0.7,,31,,10,<,10
"July 8, 2017",0.4,0.7,0.7,,41,,74,,10
"July 7, 2017",0.3,0.3,0.3,,10,,20,,6
"July 6, 2017",0,0,0,<,2,<,2,,4
"July 5, 2017",0,0,0,<,10,<,10,<,10
"July 4, 2017",0,0,0,<,10,<,10,,10
"July 3, 2017",0,0,0.11,<,10,<,10,,10
"July 2, 2017",0,0.11,0.18,<,10,,10,,20
"July 1, 2017",0.11,0.18,0.18,,10,<,10,<,10
"June 30, 2017",0.07,0.07,0.07,,2,,6,,4
"June 29, 2017",0,0,0.08,,5,,4,,6
"June 28, 2017",0,0.08,0.08,,389,<,10,<,10
"June 27, 2017",0.08,0.08,0.08,,10,<,10,<,10
"June 26, 2017",0,0,0.08,<,2,,2,,2
"June 25, 2017",0,0.08,0.08,,8,<,2,<,2
"June 24, 2017",0.08,0.08,0.08,,20,,20,,10
"June 23, 2017",0,0,0,,10,,10,<,2
"June 22, 2017",0,0,0.13,,8,,4,,2
"June 21, 2017",0,0.13,0.16,<,10,,30,,10
"June 20, 2017",0.13,0.16,0.16,<,10,<,10,<,10
"June 19, 2017",0.03,0.03,0.05,<,10,<,10,,20
"June 17, 2017",0.02,2.15,2.15,>,2600,,1470,>,2600
"June 16, 2017",2.13,2.13,2.13,,10,,2,,4
"June 15, 2017",0,0,0.53,,6,,4,,5
"June 9, 2017",0,0,0.04,,2,,4,,2
"June 8, 2017",0,0.04,0.84,<,2,,10,,7
"June 2, 2017",0.01,0.17,0.23,,8,,2,<,2
"June 1, 2017",0.16,0.22,0.22,,2,<,2,<,2
"May 26, 2017",0.55,1.18,1.18,,25,,18,,22
"May 25, 2017",0.63,0.63,0.63,,6,<,2,,2
"September 4, 2016",0,0,0,<,10,<,10,<,10
"September 3, 2016",0,0,0.02,,10,<,10,,30
"September 2, 2016",0,0.02,0.02,,2,,2,,4
"September 1, 2016",0.02,0.02,0.02,,15,,6,,5
"August 31, 2016",0,0,0,<,10,<,10,<,10
"August 30, 2016",0,0,0,,10,<,10,<,10
"August 29, 2016",0,0,0,<,10,<,10,,10
"August 28, 2016",0,0,0,,10,<,10,<,10
"August 27, 2016",0,0,0,<,10,<,10,<,10
"August 26, 2016",0,0,0,,3,,8,,5
"August 25, 2016",0,0,0,,5,,4,,2
"August 24, 2016",0,0,0.89,,52,,10,,10
"August 23, 2016",0,0.89,0.9,,155,<,10,,20
"August 22, 2016",0.89,0.9,0.9,,31,,85,,20
"August 21, 2016",0.01,0.01,0.01,<,2,,2,,4
"August 20, 2016",0,0,0,,4,,6,,2
"August 19, 2016",0,0,0,,2,<,2,,2
"August 18, 2016",0,0,0,,2,,12,,3
"August 17, 2016",0,0,0,<,10,<,10,<,10
"August 16, 2016",0,0,0.18,<,10,,20,,132
"August 15, 2016",0,0.18,0.52,,20,<,10,,10
"August 14, 2016",0.18,0.52,0.53,,10,,10,<,10
"August 13, 2016",0.34,0.35,0.35,<,10,<,10,,30
"August 12, 2016",0.01,0.01,0.24,,2,,2,,2
"August 11, 2016",0,0.23,0.23,,23,,10,,5
"August 10, 2016",0.23,0.23,0.23,<,10,<,10,<,10
"August 9, 2016",0,0,0,<,10,<,10,<,10
"August 8, 2016",0,0,0.02,<,10,<,10,<,10
"August 7, 2016",0,0.02,0.02,,160,<,10,<,10
"August 6, 2016",0.02,0.02,0.02,<,10,,10,<,10
"August 5, 2016",0,0,0,,23,,2,,2
"August 4, 2016",0,0,0.04,,13,,6,<,2
"August 3, 2016",0,0.04,0.04,,4,,5,,22
"August 2, 2016",0.04,0.04,0.19,<,10,<,10,<,10
"August 1, 2016",0,0.15,0.15,,20,,10,,41
"July 31, 2016",0.15,0.15,0.21,<,10,,31,,465
"July 30, 2016",0,0.06,0.06,<,10,<,10,,10
"July 29, 2016",0.06,0.06,0.06,,2,,4,,4
"July 28, 2016",0,0,0,,2,,5,<,2
"July 27, 2016",0,0,0,,31,<,10,<,10
"July 26, 2016",0,0,0,,20,<,10,<,10
"July 25, 2016",0,0,0,,52,,122,,120
"July 24, 2016",0,0,0,,20,,10,,10
"July 23, 2016",0,0,0,,10,,10,,97
"July 22, 2016",0,0,0,,2,<,2,<,2
"July 21, 2016",0,0,0,<,2,,2,,4
"July 20, 2016",0,0,0.01,<,10,<,10,<,10
"July 19, 2016",0,0.01,0.01,<,10,<,10,<,10
"July 18, 2016",0.01,0.01,0.01,<,10,,10,<,10
"July 17, 2016",0,0,0,,20,<,10,,10
"July 16, 2016",0,0,0,<,10,<,10,<,10
"July 15, 2016",0,0,0,,2,,10,<,2
"July 14, 2016",0,0,0,,2,,5,<,2
"July 13, 2016",0,0,0,,10,<,10,<,10
"July 12, 2016",0,0,0.09,,10,<,10,<,10
"July 11, 2016",0,0.09,0.2,<,10,<,10,<,10
"July 10, 2016",0.09,0.2,0.22,,780,,1020,,1420
"July 9, 2016",0.11,0.13,0.13,<,10,<,10,,10
"July 8, 2016",0.02,0.02,0.02,,2,<,2,,2
"July 7, 2016",0,0,0.23,,45,,2,,2
"July 6, 2016",0,0.23,0.23,<,2,<,2,<,2
"July 5, 2016",0.23,0.23,0.23,,10,,119,,84
"July 4, 2016",0,0,0,,10,,20,,10
"July 3, 2016",0,0,0.2,,10,,31,,20
"July 2, 2016",0,0.2,0.2,,10,,20,,20
"July 1, 2016",0.2,0.2,0.23,,10,,31,<,10
"June 30, 2016",0,0.03,0.11,,27,,21,,12
"June 29, 2016",0.03,0.11,0.11,<,10,,10,<,10
"June 28, 2016",0.08,0.08,0.08,<,10,,10,,10
"June 27, 2016",0,0,0,<,10,<,10,<,10
"June 26, 2016",0,0,0,<,10,<,10,,10
"June 25, 2016",0,0,0,,240,,52,<,10
"June 24, 2016",0,0,0,,8,,10,,6
"June 23, 2016",0,0,0.02,,8,,2,,3
"June 22, 2016",0,0.02,0.02,<,2,<,2,<,2
"June 21, 2016",0.02,0.02,0.02,<,10,<,10,,40
"June 20, 2016",0,0,0,<,10,<,10,<,10
"June 19, 2016",0,0,0.12,<,10,<,10,,10
"June 18, 2016",0,0.12,0.12,,20,,10,<,10
"June 17, 2016",0.12,0.12,0.12,,13,,33,,16
"June 16, 2016",0,0,0,,10,<,2,,51
"June 15, 2016",0,0,0,,10,<,10,<,10
"June 14, 2016",0,0,0,<,10,,10,<,10
"June 13, 2016",0,0,0.02,,10,,10,<,10
"June 12, 2016",0,0.02,0.02,<,2,<,2,<,2
"June 11, 2016",0.02,0.02,0.02,<,2,,14,,33
"June 10, 2016",0,0,0,,2,,4,<,2
"June 9, 2016",0,0,0.15,,2,,2,<,2
"June 2, 2016",0,0,0,,3,<,2,,6
"May 31, 2016",0,1.13,1.13,,2,,2,,4
"May 26, 2016",0,0,0.26,,12,<,2,,2
"September 6, 2015",0,0,0,<,10,<,10,,20
"September 5, 2015",0,0,0.01,,31,,30,,20
"September 4, 2015",0,0.01,0.01,,12,,4,,4
"September 3, 2015",0.01,0.01,0.01,,13,,10,,15
"September 2, 2015",0,0,0,<,2,,2,<,2
"September 1, 2015",0,0,0,,15,,2,,2
"August 31, 2015",0,0,0,,7,<,2,<,2
"August 30, 2015",0,0,0,<,10,,10,,10
"August 29, 2015",0,0,0,,10,<,10,<,10
"August 28, 2015",0,0,0,,4,,5,,8
"August 27, 2015",0,0,0,<,2,,2,,4
"August 26, 2015",0,0,0,<,10,,41,<,10
"August 25, 2015",0,0,0.02,<,10,,20,,10
"August 24, 2015",0,0.02,0.02,<,10,<,10,,10
"August 23, 2015",0.02,0.02,0.65,<,10,,10,,10
"August 22, 2015",0,0.63,0.63,,41,,109,,52
"August 21, 2015",0.63,0.63,0.63,,2,,20,,6
"August 20, 2015",0,0,0.14,,41,,33,,14
"August 19, 2015",0,0.14,0.14,,52,,97,,121
"August 18, 2015",0.14,0.14,0.14,<,10,,10,,31
"August 17, 2015",0,0,0.08,,20,<,10,<,10
"August 16, 2015",0,0.08,0.08,,10,,52,,10
"August 15, 2015",0.08,0.08,0.08,<,10,,10,<,10
"August 14, 2015",0,0,0,<,2,<,2,<,2
"August 13, 2015",0,0,0.83,,10,,18,,2
"August 12, 2015",0,0.83,0.83,,30,,10,,31
"August 11, 2015",0.83,0.83,0.83,,906,,2280,,86
"August 10, 2015",0,0,0,,30,<,10,,31
"August 9, 2015",0,0,0,,63,,110,,52
"August 8, 2015",0,0,0,,31,,10,<,10
"August 7, 2015",0,0,0,,8,<,2,,6
"August 6, 2015",0,0,0.49,,2,<,2,<,2
"August 5, 2015",0,0.49,0.49,,62,,148,,10
"August 4, 2015",0.49,0.49,0.49,,97,,85,,233
"August 2, 2015",0,0,0,<,2,,2,<,2
"August 1, 2015",0,0,0.02,,21,,6,,4
"July 31, 2015",0,0.02,0.02,,146,,98,,170
"July 30, 2015",0.02,0.02,0.02,,7,,10,,10
"July 29, 2015",0,0,0.06,,199,,134,,10
"July 28, 2015",0,0.06,0.06,,30,<,10,,10
"July 27, 2015",0.06,0.06,0.06,,10,<,10,<,10
"July 26, 2015",0,0,0.01,,31,<,10,<,10
"July 25, 2015",0,0.01,0.01,<,10,<,10,<,10
"July 24, 2015",0.01,0.01,0.01,<,2,<,2,<,2
"July 23, 2015",0,0,0,,2,,8,,2
"July 22, 2015",0,0,0,,20,,20,,20
"July 21, 2015",0,0,0,<,10,<,10,,20
"July 20, 2015",0,0,0.14,,10,<,10,,10
"July 19, 2015",0,0.14,0.14,,63,,20,<,10
"July 18, 2015",0.14,0.14,0.14,,31,,31,,31
"July 16, 2015",0,0,0.03,<,2,,2,,2
"July 15, 2015",0,0.03,0.03,<,12,<,10,<,10
"July 14, 2015",0.03,0.03,0.03,,52,<,10,,31
"July 13, 2015",0,0,0,,10,<,10,<,10
"July 12, 2015",0,0,1.12,,10,,10,,10
"July 11, 2015",0,1.12,1.27,<,10,<,10,<,10
"July 10, 2015",1.12,1.27,1.27,,129,,254,,262
"July 9, 2015",0.15,0.15,0.17,,5,,2,,15
"July 8, 2015",0,0.02,0.02,,20,,10,,311
"July 7, 2015",0.02,0.02,0.02,,201,,20,,10
"July 6, 2015",0,0,0,,10,,31,<,10
"July 5, 2015",0,0,0,<,2,<,2,,4
"July 3, 2015",0,0,0.54,,2,,4,,2
"July 2, 2015",0,0.54,0.54,,21,,15,,10
"July 1, 2015",0.54,0.54,0.54,,30,,426,,146
"June 30, 2015",0,0,1.43,,41,<,10,,31
"June 29, 2015",0,1.43,1.63,,583,,345,,298
"June 28, 2015",1.43,1.63,1.63,,318,,457,,472
"June 27, 2015",0.2,0.2,0.2,<,10,<,10,<,10
"June 26, 2015",0,0,0,,5,,2,,4
"June 25, 2015",0,0,0.01,,13,,8,,7
"June 24, 2015",0,0.01,0.01,<,10,<,10,<,10
"June 23, 2015",0.01,0.01,1.73,<,10,,10,,31
"June 22, 2015",0,1.72,1.76,,586,,1220,,2310
"June 21, 2015",1.72,1.76,1.76,,738,,771,,845
"June 20, 2015",0.04,0.04,0.04,<,10,<,10,<,10
"June 19, 2015",0,0,0,,4,<,2,<,2
"June 18, 2015",0,0,0,,4,,10,,2
"June 17, 2015",0,0,0.4,<,2,<,2,<,2
"June 16, 2015",0,0.4,0.4,<,10,<,10,<,10
"June 15, 2015",0.4,0.4,0.4,<,10,,10,,20
"June 14, 2015",0,0,0,<,10,,10,<,10
"June 13, 2015",0,0,0,,10,<,10,<,10
"June 12, 2015",0,0,0,,2,,4,,8
"June 11, 2015",0,0,0,,16,,6,<,2
"June 4, 2015",0,0,0.74,,12,,5,,6
"May 28, 2015",0,0,0,<,2,,4,,2
"May 21, 2015",0,0,0.27,<,2,,2,<,2
"August 31, 2014",0.54,0.54,0.54,,384,,31,,86
"August 30, 2014",0,0,0,<,10,<,10,,31
"August 29, 2014",0,0,0.02,,2,<,2,<,2
"August 28, 2014",0,0.02,0.02,,35,,18,,35
"August 27, 2014",0.02,0.02,0.02,,21,<,2,,15
"August 26, 2014",0,0,0,<,2,<,2,<,2
"August 25, 2014",0,0,0,,30,,10,<,10
"August 24, 2014",0,0,0.08,,109,,85,,52
"August 23, 2014",0,0.08,0.08,,52,<,10,,20
"August 22, 2014",0.08,0.08,0.08,,32,,2,,4
"August 21, 2014",0,0,0,,10,<,2,,15
"August 20, 2014",0,0,0,,10,<,10,<,10
"August 19, 2014",0,0,0,,31,<,10,<,10
"August 18, 2014",0,0,0,,52,<,10,,10
"August 17, 2014",0,0,0,<,10,,10,,10
"August 16, 2014",0,0,0,,10,,10,<,10
"August 15, 2014",0,0,1.06,,4,,6,,4
"August 14, 2014",0,1.06,1.06,,30,,10,,20
"August 13, 2014",1.06,1.06,1.06,,1100,,1100,,1030
"August 12, 2014",0,0,0,,8,,5,,15
"August 11, 2014",0,0,0,,22,,10,,22
"August 10, 2014",0,0,0,<,10,,10,,10
"August 9, 2014",0,0,0.01,<,10,,20,<,10
"August 8, 2014",0,0.01,0.02,,8,,12,,13
"August 7, 2014",0.01,0.02,0.02,<,2,<,2,<,2
"August 6, 2014",0.01,0.01,0.01,<,10,,41,<,10
"August 5, 2014",0,0,0,<,10,<,10,<,10
"August 4, 2014",0,0,0.03,,10,,10,,10
"August 3, 2014",0,0.03,0.03,<,10,<,10,,20
"August 2, 2014",0.03,0.03,0.03,<,10,,10,<,10
"August 1, 2014",0,0,0,,52,,29,,8
"July 31, 2014",0,0,0,,2,,2,,2
"July 30, 2014",0,0,0.11,<,2,,2,<,2
"July 29, 2014",0,0.11,0.46,,2,,2,<,2
"July 28, 2014",0.11,0.46,0.46,>,2600,,1330,,15
"July 27, 2014",0.35,0.35,0.35,,31,<,10,,20
"July 26, 2014",0,0,0,,41,<,10,,20
"July 25, 2014",0,0,0,<,2,,2,<,2
"July 24, 2014",0,0,0,<,2,<,2,<,2
"July 23, 2014",0,0,0,<,10,,20,<,10
"July 22, 2014",0,0,0,<,10,<,10,<,10
"July 21, 2014",0,0,0,,20,,10,<,10
"July 20, 2014",0,0,0,,20,,10,<,10
"July 19, 2014",0,0,0,<,10,<,10,<,10
"July 18, 2014",0,0,0.85,,2,,2,,4
"July 17, 2014",0,0.85,0.85,,25,,21,,12
"July 16, 2014",0.85,0.85,1.52,,146,<,10,<,10
"July 15, 2014",0,0.67,0.67,,17,,12,,13
"July 14, 2014",0.67,0.67,0.67,,2,<,2,<,2
"July 13, 2014",0,0,0,,2,,8,,4
"July 12, 2014",0,0,0,<,10,,10,,10
"July 11, 2014",0,0,0,,2,,2,,2
"July 10, 2014",0,0,0,,2,<,2,,4
"July 9, 2014",0,0,0.08,,10,<,10,<,10
"July 8, 2014",0,0.08,0.08,<,10,<,10,<,10
"July 7, 2014",0.08,0.08,0.43,,10,,10,,20
"July 6, 2014",0,0.35,2.23,<,10,<,10,<,10
"July 5, 2014",0.35,2.23,2.51,,148,,160,<,10
"July 2, 2014",0,0,0,,2,<,2,<,2
"July 1, 2014",0,0,0,,86,,20,<,10
"June 30, 2014",0,0,0,<,2,<,2,<,2
"June 29, 2014",0,0,0,<,2,<,2,,2
"June 28, 2014",0,0,0.28,<,2,<,2,<,2
"June 27, 2014",0,0.28,0.28,,4,,4,,2
"June 26, 2014",0.28,0.28,0.28,,152,,29,,16
"June 25, 2014",0,0,0,<,10,<,10,<,10
"June 24, 2014",0,0,0,<,10,,10,<,10
"June 23, 2014",0,0,0,<,10,<,10,<,10
"June 22, 2014",0,0,0,<,10,<,10,<,10
"June 21, 2014",0,0,0,<,10,<,10,<,10
"June 20, 2014",0,0,0,<,2,<,2,<,2
"June 19, 2014",0,0,0.02,,2,,2,,2
"June 12, 2014",0,0,0.85,,32,,37,,29
"June 5, 2014",0.78,0.92,0.92,,4,<,2,<,2
"May 29, 2014",0,0.08,0.56,,23,,5,,18
"May 22, 2014",0.25,0.25,0.25,,8,,6,,12
"August 30, 2013",0,0,0,,4,,6,,2
"August 29, 2013",0,0,0.01,,6,<,2,,2
"August 28, 2013",0,0.01,0.02,<,10,,10,,10
"August 27, 2013",0.01,0.02,0.02,<,10,<,10,<,10
"August 26, 2013",0.01,0.01,0.01,,10,,41,,10
"August 25, 2013",0,0,0,<,2,<,2,<,2
"August 24, 2013",0,0,0,,4,<,2,<,2
"August 23, 2013",0,0,0,<,2,,8,<,2
"August 22, 2013",0,0,0,,10,,2,<,2
"August 21, 2013",0,0,0,,27,,53,,4
"August 20, 2013",0,0,0,<,10,,10,<,10
"August 19, 2013",0,0,0,<,10,<,10,<,10
"August 18, 2013",0,0,0,<,10,<,10,<,10
"August 17, 2013",0,0,0,<,10,<,10,<,10
"August 16, 2013",0,0,0,,6,,2,,4
"August 15, 2013",0,0,0,,6,,2,<,2
"August 14, 2013",0,0,0,,10,,41,,10
"August 13, 2013",0,0,0,,10,,52,,10
"August 12, 2013",0,0,0,,2,,2,<,2
"August 11, 2013",0,0,1.62,<,2,,4,<,2
"August 10, 2013",0,1.62,1.69,,7,,17,,32
"August 9, 2013",1.62,1.69,1.69,,4,<,2,,2
"August 8, 2013",0.07,0.07,0.07,,22,<,2,,13
"August 7, 2013",0,0,0,<,2,<,2,<,2
"August 6, 2013",0,0,0,<,10,,10,<,10
"August 5, 2013",0,0,0,,10,<,10,<,10
"August 4, 2013",0,0,0.13,<,10,<,10,<,10
"August 3, 2013",0,0.13,0.13,,20,,10,,10
"August 2, 2013",0.13,0.13,0.13,,4,,4,,14
"August 1, 2013",0,0,0,,2,,6,<,2
"July 31, 2013",0,0,0.33,,10,<,10,<,10
"July 30, 2013",0,0.33,0.34,,30,,20,<,10
"July 29, 2013",0.33,0.34,0.34,,30,,10,,30
"July 28, 2013",0.01,0.01,1.01,,10,,30,<,10
"July 27, 2013",0,1,1.27,,73,,20,,51
"July 26, 2013",1,1.27,1.27,,1500,,162,,100
"July 25, 2013",0.27,0.27,2.03,,6,,12,,15
"July 24, 2013",0,1.76,1.76,,6,,22,,28
"July 23, 2013",1.76,1.76,1.77,,4,,4,<,2
"July 22, 2013",0,0.01,0.01,,10,<,10,,72
