"Carson Beach, South Boston: Bacterial Water Quality",,,,,,,
,,,,I Street,,McCormack Bathhouse,
"July 9, 2009",0,0.02,0.71,,2,,10
"July 8, 2009",0.02,0.71,0.71,,209,,134
"July 7, 2009",0.69,0.69,0.69,<,10,,20
"July 6, 2009",0,0,0,<,10,,10
"July 5, 2009",0,0,0,,10,<,10
"July 4, 2009",0,0,0.85,<,10,<,10
"July 3, 2009",0,0.85,1.46,,48,<,2
"July 2, 2009",0.85,1.46,1.53,,13,,246
"July 1, 2009",0.61,0.68,1.13,,30,,63
"June 30, 2009",0.07,0.52,0.55,,41,<,10
"June 29, 2009",0.45,0.48,0.48,,10,,31
"June 28, 2009",0.03,0.03,0.06,<,10,,20
"June 27, 2009",0,0.03,0.08,,41,<,10
"June 26, 2009",0.03,0.08,0.22,,23,,2
"June 25, 2009",0.05,0.19,0.21,,17,,6
"June 24, 2009",0.14,0.16,0.55,,30,,31
"June 23, 2009",0.02,0.41,0.45,,933,,455
"June 22, 2009",0.39,0.43,0.43,,495,,109
"June 21, 2009",0.04,0.04,0.54,,187,,20
"June 20, 2009",0,0.5,0.93,,31,,10
"June 19, 2009",0.5,0.93,0.93,,910,,900
"June 18, 2009",0.43,0.43,0.43,,17,,4
"June 11, 2009",0.2,0.2,0.3,<,2,<,2
"June 4, 2009",0,0,0,,2,,2
"May 29, 2009",0.13,0.13,0.29,,29,,62
"May 21, 2009",0,0,0,,15,,10
"August 31, 2008",0,0,0,,20,<,10
"August 30, 2008",0,0,0,,52,,61
"August 29, 2008",0,0,0,,1370,,4630
"August 28, 2008",0,0,0,<,2,,2
"August 27, 2008",0,0,0,<,10,,41
"August 26, 2008",0,0,0,<,10,,10
"August 25, 2008",0,0,0,,10,,20
"August 24, 2008",0,0,0,,10,<,10
"August 23, 2008",0,0,0,<,10,,10
"August 22, 2008",0,0,0,,4,,2
"August 21, 2008",0,0,0.01,<,2,,2
"August 20, 2008",0,0.01,0.01,<,10,,10
"August 19, 2008",0.01,0.01,0.01,<,10,<,10
"August 18, 2008",0,0,0,<,10,<,10
"August 17, 2008",0,0,0.35,,20,<,10
"August 16, 2008",0,0.35,0.44,,20,,10
"August 15, 2008",0.35,0.44,0.44,,12,,10
"August 14, 2008",0.09,0.09,0.19,,8,,8
"August 13, 2008",0,0.1,0.16,<,10,<,10
"August 12, 2008",0.1,0.16,1.41,,1190,,601
"August 11, 2008",0.06,1.31,1.31,<,10,<,10
"August 10, 2008",1.25,1.25,2.56,,20,<,10
"August 9, 2008",0,1.31,1.45,,52,,41
"August 8, 2008",1.31,1.45,1.73,,2300,,1970
"August 7, 2008",0.14,0.42,0.42,,17,,28
"August 6, 2008",0.28,0.28,0.28,,169,,197
"August 5, 2008",0,0,0.33,,52,,73
"August 4, 2008",0,0.33,0.88,,20,,63
"August 3, 2008",0.33,0.88,0.88,,10,,30
"August 2, 2008",0.55,0.55,0.59,<,10,<,10
"August 1, 2008",0,0.04,0.04,,7,,13
"July 31, 2008",0.04,0.04,0.04,,141,,92
"July 30, 2008",0,0,0,,20,,98
"July 29, 2008",0,0,0.19,,10,,41
"July 28, 2008",0,0.19,0.19,,10,,10
"July 27, 2008",0.19,0.19,0.19,<,10,<,10
"July 26, 2008",0,0,2.16,,10,<,10
"July 25, 2008",0,2.16,2.82,,127,,64
"July 24, 2008",2.16,2.82,3.07,,10,<,10
"July 23, 2008",0.66,0.91,1.05,<,10,,292
"July 22, 2008",0.25,0.39,1.54,,1260,,860
"July 21, 2008",0.14,1.29,1.29,,52,,638
"July 20, 2008",1.15,1.15,1.28,<,10,<,10
"July 19, 2008",0,0.13,0.13,,10,<,10
"July 18, 2008",0.13,0.13,0.13,,2,<,2
"July 17, 2008",0,0,0,,6,,10
"July 16, 2008",0,0,0.07,<,10,<,10
"July 15, 2008",0,0.07,0.07,<,10,<,10
"July 14, 2008",0.07,0.07,0.07,<,10,<,10
"July 13, 2008",0,0,0,<,10,,10
"July 12, 2008",0,0,0.01,,41,,52
"July 11, 2008",0,0.01,0.05,,12,,6
"July 10, 2008",0.01,0.05,0.05,<,2,,8
"July 9, 2008",0.04,0.04,0.04,,20,<,10
"July 8, 2008",0,0,0,<,10,<,10
"July 7, 2008",0,0,0.01,,30,,10
"July 6, 2008",0,0.01,0.21,<,10,,10
"July 5, 2008",0.01,0.21,0.33,,121,,41
"July 4, 2008",0.2,0.32,0.98,,13,,79
"July 3, 2008",0.12,0.78,0.95,,30,,15
"June 30, 2008",0,0,0,,10,<,10
"June 29, 2008",0,0,0.66,,134,,98
"June 28, 2008",0,0.66,0.66,,199,,601
"June 27, 2008",0.66,0.66,0.66,,2,,8
"June 26, 2008",0,0,0.78,<,2,<,2
"June 25, 2008",0,0.78,1.24,,10,,30
"June 24, 2008",0.78,1.24,1.24,,10,,31
"June 23, 2008",0.46,0.46,0.46,<,10,,20
"June 22, 2008",0,0,0.03,<,10,<,10
"June 21, 2008",0,0.03,0.03,<,10,<,10
"June 20, 2008",0.03,0.03,0.03,,17,<,2
"June 19, 2008",0,0,0,,12,<,2
"June 12, 2008",0,0,0,,53,<,2
"June 4, 2008",0.56,0.56,0.56,,4,,2
"May 28, 2008",0,0.99,0.99,,8,,2
"May 22, 2008",0.33,0.33,0.33,,2,<,2
"September 1, 2007",0,0.01,0.01,,2,,5
"August 31, 2007",0.01,0.01,0.01,,10,,27
"August 30, 2007",0,0,0,,3400,,43
"August 29, 2007",0,0,0,<,10,<,10
"August 28, 2007",0,0,0,,10,,31
"August 27, 2007",0,0,0,<,10,,31
"August 26, 2007",0,0,0,<,10,,31
"August 25, 2007",0,0,0,<,10,,31
"August 24, 2007",0,0,0,,59,,2
"August 23, 2007",0,0,0,,40,,12
"August 22, 2007",0,0,0,,173,<,10
"August 21, 2007",0,0,0,<,10,<,10
"August 20, 2007",0,0,0.04,,10,<,10
"August 19, 2007",0,0.04,0.04,,10,<,10
"August 18, 2007",0.04,0.04,0.04,,74,,10
"August 17, 2007",0,0,0,<,2,,22
"August 16, 2007",0,0,0,,2,,27
"August 15, 2007",0,0,0,,20,<,10
"August 14, 2007",0,0,0,<,10,<,10
"August 13, 2007",0,0,0,,10,,10
"August 12, 2007",0,0,0.09,<,10,<,10
"August 11, 2007",0,0.09,0.09,,20,<,10
"August 10, 2007",0.09,0.09,0.37,,30,,27
"August 9, 2007",0,0.28,0.28,,2,<,2
"August 8, 2007",0.28,0.28,0.52,,20,,20
"August 7, 2007",0,0.24,0.24,<,10,,41
"August 6, 2007",0.24,0.24,0.24,,10,<,10
"August 5, 2007",0,0,0,,20,<,10
"August 4, 2007",0,0,0,<,10,<,10
"August 3, 2007",0,0,0,,10,,17
"August 2, 2007",0,0,0,,240,,47
"August 1, 2007",0,0,1.72,<,10,<,10
"July 31, 2007",0,1.72,1.72,,30,,63
"July 30, 2007",1.72,1.72,4.04,,121,,703
"July 29, 2007",0,2.32,2.32,,118,,20
"July 28, 2007",2.32,2.32,2.32,,10,,10
"July 27, 2007",0,0,0,,4,<,2
"July 26, 2007",0,0,0,<,2,,2
"July 25, 2007",0,0,0.06,<,10,<,10
"July 24, 2007",0,0.06,0.06,<,10,<,10
"July 23, 2007",0.06,0.06,0.06,<,10,<,10
"July 22, 2007",0,0,0.01,<,10,<,10
"July 21, 2007",0,0.01,0.12,<,10,<,10
"July 20, 2007",0.01,0.12,0.29,,10,,4
"July 19, 2007",0.11,0.28,0.28,,4,,2
"July 18, 2007",0.17,0.17,0.17,,10,<,10
"July 17, 2007",0,0,0,<,10,,10
"July 16, 2007",0,0,0,<,10,<,10
"July 15, 2007",0,0,0,,63,,10
"July 14, 2007",0,0,0.05,,10,<,10
"July 13, 2007",0,0.05,0.05,<,2,<,2
"July 12, 2007",0.05,0.05,0.05,,4,,2
"July 11, 2007",0,0,0.23,,20,<,10
"July 10, 2007",0,0.23,0.25,<,10,,10
"July 9, 2007",0.23,0.25,0.25,<,10,,10
"July 8, 2007",0.02,0.02,0.02,<,10,<,10
"July 7, 2007",0,0,0.31,,10,<,10
"July 6, 2007",0,0.31,0.36,<,2,<,2
"July 5, 2007",0.31,0.36,0.36,,35,,650
"July 4, 2007",0.05,0.05,0.05,,10,,74
"July 3, 2007",0,0,0.21,<,10,<,10
"July 2, 2007",0,0.21,0.21,<,10,<,10
"July 1, 2007",0.21,0.21,0.21,<,10,<,10
"June 30, 2007",0,0,0.02,<,10,<,10
"June 29, 2007",0,0.02,0.02,<,2,,2
"June 28, 2007",0.02,0.02,0.02,,6,,4
"June 27, 2007",0,0,0,,10,<,10
"June 26, 2007",0,0,0,<,10,<,10
"June 25, 2007",0,0,0,<,10,<,10
"June 24, 2007",0,0,0.03,,10,<,10
"June 23, 2007",0,0.03,0.12,<,10,<,10
"June 22, 2007",0.03,0.12,0.28,,10,,2
"June 21, 2007",0.09,0.25,0.25,<,2,,14
"June 20, 2007",0.16,0.16,0.16,,41,<,10
"June 19, 2007",0,0,0.02,<,10,,41
"June 18, 2007",0,0.02,0.02,<,10,<,10
"June 15, 2007",0,0,0,<,2,<,2
"June 14, 2007",0,0,0.07,,13,,262
"June 7, 2007",0,0,0,<,2,<,13
"May 31, 2007",0,0,0,,2,,35
"May 24, 2007",0,0,0,,2,,7
"September 4, 2006",0,0.25,0.25,,25,<,5
"September 3, 2006",0.25,0.25,0.25,,150,,140
"September 2, 2006",0,0,0,<,5,,10
"September 1, 2006",0,0,0,,20,,15
"August 31, 2006",0,0,0.14,,2,,6
"August 30, 2006",0,0.14,0.25,,10,,10
"August 29, 2006",0.14,0.25,0.65,<,10,,330
"August 28, 2006",0.11,0.51,0.51,<,5,<,5
"August 27, 2006",0.4,0.4,1.24,,50,,20
"August 26, 2006",0,0.84,0.85,<,10,,20
"August 25, 2006",0.84,0.85,0.85,,12,,4
"August 24, 2006",0.01,0.01,0.01,,4,,6
"August 23, 2006",0,0,0,<,5,,10
"August 22, 2006",0,0,0.8,<,5,<,5
"August 21, 2006",0,0.8,0.8,,230,,10
"August 20, 2006",0.8,0.8,0.8,,245,,365
"August 19, 2006",0,0,0,<,5,,5
"August 18, 2006",0,0,0,,6,,7
"August 17, 2006",0,0,0.53,,2,<,2
"August 16, 2006",0,0.53,0.53,<,10,<,10
"August 15, 2006",0.53,0.53,0.53,,10,<,10
"August 14, 2006",0,0,0,,5,,5
"August 13, 2006",0,0,0,<,5,<,5
"August 12, 2006",0,0,0,<,5,,20
"August 11, 2006",0,0,0,,2,,2
"August 10, 2006",0,0,0,,2,,5
"August 9, 2006",0,0,0.04,<,5,<,5
"August 8, 2006",0,0.04,0.04,<,5,,35
"August 7, 2006",0.04,0.04,0.04,,10,,15
"August 6, 2006",0,0,0.31,<,5,<,5
"August 5, 2006",0,0.31,0.31,<,5,,5
"August 4, 2006",0.31,0.31,0.31,,2,,2
"August 3, 2006",0,0,0.02,,2,<,2
"August 2, 2006",0,0.02,0.02,,15,<,5
"August 1, 2006",0.02,0.02,0.02,<,5,<,5
"July 31, 2006",0,0,0,<,5,<,5
"July 30, 2006",0,0,0.29,,5,,10
"July 29, 2006",0,0.29,0.29,,10,,30
"July 28, 2006",0.29,0.29,0.29,,35,,27
"July 27, 2006",0,0,0,,10,,4
"July 26, 2006",0,0,0,,5,<,5
"July 25, 2006",0,0,0.11,,30,,5
"July 24, 2006",0,0.11,0.23,,10,<,5
"July 23, 2006",0.11,0.23,1.52,,40,,10
"July 22, 2006",0.12,1.41,1.41,,40,,50
"July 21, 2006",1.29,1.29,1.48,,2,<,2
"July 20, 2006",0,0.19,0.41,,79,,138
"July 19, 2006",0.19,0.41,0.41,,35,,25
"July 18, 2006",0.22,0.22,0.22,,5,<,5
"July 17, 2006",0,0,0,<,5,<,5
"July 16, 2006",0,0,0,,15,,5
"July 15, 2006",0,0,0.17,,30,,5
"July 14, 2006",0,0.17,1.19,,64,,35
"July 13, 2006",0.17,1.19,1.21,,41,,176
"July 12, 2006",1.02,1.04,1.04,,125,<,5
"July 11, 2006",0.02,0.02,0.02,,115,,15
"July 10, 2006",0,0,0,<,5,,15
"July 9, 2006",0,0,0,<,5,<,5
"July 8, 2006",0,0,0.15,,5,,5
"July 7, 2006",0,0.15,0.15,,25,,30
"July 6, 2006",0.15,0.15,0.15,,21,,5
"July 5, 2006",0,0,0,,5,,10
"July 4, 2006",0,0,0,,25,,5
"July 3, 2006",0,0,0,,5,<,5
"July 2, 2006",0,0,0.13,,5,,5
"July 1, 2006",0,0.13,0.13,<,5,,5
"June 29, 2006",0,0.05,0.05,,10,,5
"June 27, 2006",0,0,0.95,,18,,6
"June 22, 2006",0,0,0.37,,18,,22
"June 15, 2006",0.1,0.1,0.1,,15,,10
"June 12, 2006",0,0,0.43,<,2,,2
"June 5, 2006",0,0.3,2.21,,5,,2
"June 1, 2006",0.12,0.12,0.12,,6,,2
"September 2, 2005",0,0.19,0.22,,25,<,2
"August 25, 2005",0,0,0,,2,,10
"August 21, 2005",0.02,0.02,0.02,,170,,5
"August 20, 2005",0,0,0,<,5,,60
"August 18, 2005",0,0,0,,13,,41
"August 17, 2005",0,0,0.13,,25,,10
"August 16, 2005",0,0.13,0.73,,5,,25
"August 15, 2005",0.13,0.73,0.8,,40,,70
"August 14, 2005",0.6,0.67,0.67,<,5,<,5
"August 13, 2005",0.07,0.07,0.3,,750,,1150
"August 12, 2005",0,0.23,0.23,,2,,354
"August 10, 2005",0,0.02,0.02,,305,<,5
"August 9, 2005",0.02,0.02,0.02,,,,30
"August 8, 2005",0,0,0,<,5,<,5
"August 7, 2005",0,0,0.55,<,5,<,5
"August 6, 2005",0,0.55,0.55,,10,,15
"August 4, 2005",0,0,0.01,,10,,14
"August 3, 2005",0,0.01,0.57,,10,<,5
"August 2, 2005",0.01,0.57,0.57,,25,,15
"August 1, 2005",0.56,0.56,0.56,,10,<,5
"July 31, 2005",0,0,0,<,5,<,5
"July 30, 2005",0,0,0,,5,<,5
"July 29, 2005",0,0,0,,2,,8
"July 28, 2005",0,0,0,,4,<,2
"July 27, 2005",0,0,0,<,5,,5
"July 26, 2005",0,0,0,,20,<,5
"July 25, 2005",0,0,0,,25,<,5
"July 24, 2005",0,0,0.15,,5,<,5
"July 23, 2005",0,0.15,0.15,<,5,,25
"July 22, 2005",0.15,0.15,0.15,,2,,24
"July 21, 2005",0,0,0,,2,,2
"July 20, 2005",0,0,0.03,,15,<,5
"July 19, 2005",0,0.03,0.03,,20,,5
"July 18, 2005",0.03,0.03,0.03,,15,<,5
"July 17, 2005",0,0,0,<,5,,35
"July 16, 2005",0,0,0,,5,,140
"July 15, 2005",0,0,0,<,2,<,2
"July 13, 2005",0,0,0,,15,,10
"July 12, 2005",0,0,0,<,5,<,5
"July 11, 2005",0,0,0.2,,5,<,5
"July 10, 2005",0,0.2,1.15,<,5,<,5
"July 9, 2005",0.2,1.15,1.15,,20,<,10
"July 6, 2005",2.04,2.04,2.04,,180,,30
"July 5, 2005",0,0,0,<,5,<,5
"July 4, 2005",0,0,0,<,5,,5
"July 3, 2005",0,0,0,,110,<,5
"July 2, 2005",0,0,0,,20,<,5
"July 1, 2005",0,0,0,,18,<,2
"June 30, 2005",0,0,0,,10,<,2
"June 24, 2005",0,0,0.03,,2,,2
"June 23, 2005",0,0.03,0.03,,6,,5
"June 17, 2005",0.01,0.14,0.2,,48,,6
"June 16, 2005",0.13,0.19,0.19,,24,,16
"September 3, 2004",0,0,0,<,2,,4
"September 2, 2004",0,0,0.17,,14,,14
"August 27, 2004",0,0,0,,13,,25
"August 26, 2004",0,0,0,,30,,4
"August 21, 2004",1.05,1.16,1.16,,15,,10
"August 20, 2004",0.11,0.11,0.11,,4,,6
"August 19, 2004",0,0,0.03,,16,,2
"August 18, 2004",0,0.03,0.16,,45,<,5
"August 17, 2004",0.03,0.16,1.17,,5,,15
"August 16, 2004",0.13,1.14,1.15,,45,,35
"August 15, 2004",1.01,1.02,1.82,,35,,70
"August 14, 2004",0.01,0.81,1.36,,20,,20
"August 13, 2004",0.8,1.35,1.35,,92,,1400
"August 12, 2004",0.55,0.55,0.55,<,2,,2
"August 11, 2004",0,0,0,<,5,<,5
"August 10, 2004",0,0,0,,5,,10
"August 9, 2004",0,0,0,<,5,<,5
"August 8, 2004",0,0,0,<,5,<,5
"August 7, 2004",0,0,0.34,,15,,20
"August 6, 2004",0,0.34,0.34,,14,,20
"August 5, 2004",0.34,0.34,0.34,,27,,2
"August 4, 2004",0,0,0,<,5,<,5
"August 3, 2004",0,0,0,,95,<,5
"August 2, 2004",0,0,0,,35,,10
"August 1, 2004",0,0,0,,500,,10
"July 31, 2004",0,0,0,,140,,35
"July 30, 2004",0,0,0.21,,26,,16
"July 29, 2004",0,0.21,0.27,,200,,75
"July 28, 2004",0.21,0.27,0.27,,20,,75
"July 27, 2004",0.06,0.06,0.06,,5,,20
"July 26, 2004",0,0,1.2,<,5,,5
"July 25, 2004",0,1.2,1.2,,15,,35
"July 24, 2004",1.2,1.2,1.2,<,5,<,5
"July 23, 2004",0,0,0,,18,,8
"July 22, 2004",0,0,0,,27,,5
"July 21, 2004",0,0,0.04,<,5,<,5
"July 20, 2004",0,0.04,0.04,,,<,5
"July 19, 2004",0.04,0.04,0.04,,5,,15
"July 18, 2004",0,0,0,<,5,,10
"July 17, 2004",0,0,0,,10,<,5
"July 16, 2004",0,0,0.44,,12,,12
"July 15, 2004",0,0.44,0.61,,29,,180
"July 14, 2004",0.44,0.61,0.61,,5,,25
"July 13, 2004",0.17,0.17,0.17,,5,,10
"July 12, 2004",0,0,0,<,5,,15
"July 11, 2004",0,0,0,,5,<,5
"July 10, 2004",0,0,0.06,<,5,<,5
"July 9, 2004",0,0.06,0.06,,2,,16
"July 8, 2004",0.06,0.06,0.06,,35,,8
"July 7, 2004",0,0,0.88,<,5,,5
"July 6, 2004",0,0.88,0.88,,25,,150
"July 5, 2004",0.88,0.88,0.88,,50,,10
"July 2, 2004",0.7,0.81,0.81,,113,,28
"July 1, 2004",0.11,0.11,0.15,,184,,14
"June 25, 2004",0.2,0.2,0.2,,32,,8
"June 24, 2004",0,0,0,,8,,6
"June 18, 2004",0.09,0.1,0.1,,10,,18
"June 17, 2004",0.01,0.01,0.01,,42,,4
"November 1, 2003",0,0,0,,30,,
"October 31, 2003",0,0,1.49,,110,,
"October 18, 2003",0.05,0.06,0.06,,10,,
"October 17, 2003",0.01,0.01,1.41,,120,,
"September 26, 2003",0,0,0,,110,,
"September 25, 2003",0,0,1.05,,55,,
"August 29, 2003",0,0,0,,8,,2
"August 28, 2003",0,0,0,,2,<,2
"August 23, 2003",0,0.07,0.07,,10,<,5
"August 22, 2003",0.07,0.07,0.07,,15,,8
"August 21, 2003",0,0,0,,54,,44
"August 20, 2003",0,0,0,<,5,,5
"August 19, 2003",0,0,0.03,<,5,<,5
"August 18, 2003",0,0.03,0.03,<,5,,25
"August 17, 2003",0.03,0.03,0.03,<,5,,5
"August 16, 2003",0,0,0,,35,,15
"August 15, 2003",0,0,0.05,,42,,
"August 14, 2003",0,0.05,0.09,,172,,64
"August 13, 2003",0.05,0.09,0.09,,20,,5
"August 12, 2003",0.04,0.04,0.25,,5,,5
"August 11, 2003",0,0.21,0.22,<,5,,445
"August 10, 2003",0.21,0.22,1.11,,165,<,5
"August 9, 2003",0.01,0.9,1.25,,35,,35
"August 8, 2003",0.89,1.24,1.24,,24,,2200
"August 7, 2003",0.35,0.35,0.36,,38,,16
"August 6, 2003",0,0.01,0.25,,20,,20
"August 5, 2003",0.01,0.25,0.41,,165,,145
"August 4, 2003",0.24,0.4,0.45,<,5,,5
"August 3, 2003",0.16,0.21,1.06,<,5,<,5
"August 2, 2003",0.05,0.9,0.9,<,5,,15
"August 1, 2003",0.85,0.85,0.85,,2,,50
"July 31, 2003",0,0,0,,54,,44
"July 30, 2003",0,0,0,<,5,<,5
"July 29, 2003",0,0,0,,5,,40
"July 28, 2003",0,0,0,,15,,20
"July 27, 2003",0,0,0,,25,,5
"July 26, 2003",0,0,0.23,,5,<,5
"July 25, 2003",0,0.23,0.86,,66,,28
"July 24, 2003",0.23,0.86,1.18,,56,,100
"July 23, 2003",0.63,0.95,0.95,,75,,5
"July 22, 2003",0.32,0.32,0.32,,5,<,5
"July 21, 2003",0,0,0.43,,15,,5
"July 20, 2003",0,0.43,0.6,<,5,<,5
"July 19, 2003",0.43,0.6,0.6,<,5,<,5
"July 18, 2003",0.17,0.17,0.19,,26,,32
"July 17, 2003",0,0.02,0.02,,2,,56
"July 16, 2003",0.02,0.02,0.02,,5,,10
"July 15, 2003",0,0,0,,5,<,5
"July 14, 2003",0,0,0,<,5,,5
"July 13, 2003",0,0,0.21,,5,<,5
"July 12, 2003",0,0.21,0.21,,5,,5
"July 11, 2003",0.21,0.21,0.31,,18,,34
"July 10, 2003",0,0.1,0.1,,26,,18
"July 9, 2003",0.1,0.1,0.1,,10,,15
"July 8, 2003",0,0,0,,5,,5
"July 7, 2003",0,0,0,<,5,<,5
"July 2, 2003",0,0,0,,50,,22
"July 1, 2003",0,0,0,,42,,78
"June 27, 2003",0,0,0,,22,,16
"June 26, 2003",0,0,0,,4,,52
"June 24, 2003",0,0.03,1.79,,390,,180
"June 20, 2003",0,0,0.16,,56,,20
"September 19, 2002",0,0,0,,18,,25
"September 12, 2002",0,0,0,,52,,58
"September 7, 2002",0,0,0,,22,,12
"September 5, 2002",0,0.35,0.74,,14,,4
"August 30, 2002",0.05,0.89,0.89,,20,,16
"August 29, 2002",0.84,0.84,0.84,,2,,4
"August 23, 2002",0.02,0.49,0.49,,14,,4
"August 22, 2002",0.47,0.47,0.81,,2,,2
"August 21, 2002",0,0.34,0.34,<,5,,15
"August 20, 2002",0.34,0.34,0.34,,5,,110
"August 19, 2002",0,0,0,<,5,<,5
"August 18, 2002",0,0,0.02,<,5,,5
"August 17, 2002",0,0.02,0.02,<,5,<,5
"August 16, 2002",0.02,0.02,0.02,,12,,4
"August 15, 2002",0,0,0,,2,,14
"August 14, 2002",0,0,0,,10,<,5
"August 13, 2002",0,0,0,,5,,5
"August 12, 2002",0,0,0,<,5,,20
"August 11, 2002",0,0,0,<,5,,505
"August 10, 2002",0,0,0,,25,,780
"August 9, 2002",0,0,0,<,2,,2
"August 8, 2002",0,0,0,<,2,,102
"August 7, 2002",0,0,0,,5,,5
"August 6, 2002",0,0,0,<,5,<,5
"August 5, 2002",0,0,0,,15,<,5
"August 4, 2002",0,0,0.11,<,5,,5
"August 3, 2002",0,0.11,0.11,<,5,<,5
"August 2, 2002",0.11,0.11,0.11,<,2,,2
"August 1, 2002",0,0,0,<,2,<,2
"July 31, 2002",0,0,0,<,5,<,5
"July 30, 2002",0,0,0.02,<,5,,15
"July 29, 2002",0,0.02,0.09,,45,,50
"July 28, 2002",0.02,0.09,0.09,,25,<,5
"July 27, 2002",0.07,0.07,0.07,,285,<,5
"July 26, 2002",0,0,0,,14,,2
"July 25, 2002",0,0,0.46,<,2,,18
"July 24, 2002",0,0.46,0.46,<,5,,40
"July 23, 2002",0.46,0.46,0.46,<,5,,5
"July 22, 2002",0,0,0,<,5,<,5
"July 21, 2002",0,0,0.2,<,5,<,5
"July 20, 2002",0,0.2,0.2,<,5,,5
"July 19, 2002",0.2,0.2,0.2,,18,,12
"July 18, 2002",0,0,0,,52,,48
"July 17, 2002",0,0,0.05,,5,,15
"July 16, 2002",0,0.05,0.05,,180,,100
"July 15, 2002",0.05,0.05,0.05,<,5,,5
"July 14, 2002",0,0,0,,5,<,5
"July 13, 2002",0,0,0,,40,<,5
"July 12, 2002",0,0,0.01,<,2,<,2
"July 11, 2002",0,0.01,0.62,,4,,10
"July 10, 2002",0.01,0.62,0.62,<,5,,5
"July 9, 2002",0.61,0.61,0.61,<,5,<,5
"July 8, 2002",0,0,0,<,5,<,5
"July 7, 2002",0,0,0,,10,<,5
"July 6, 2002",0,0,0,<,5,,5
"July 5, 2002",0,0,0,,6,,4
"July 3, 2002",0,0,0,,5,<,5
"July 2, 2002",0,0,0,<,5,<,5
"July 1, 2002",0,0,0,<,5,,5
"June 28, 2002",0.01,1.33,1.33,,80,,52
"June 27, 2002",1.32,1.32,1.32,,106,,14
"June 20, 2002",0,0.02,0.02,,18,,22
"June 6, 2002",0.79,1.02,1.02,,52,,20
"May 16, 2002",0,0,0.3,<,5,,
"May 15, 2002",0,0.3,1.86,,5,,
"May 5, 2002",0,0,0.07,<,5,,
"May 4, 2002",0,0.07,0.59,<,5,,
"September 20, 2001",0.01,0.01,0.01,,68,,
"September 13, 2001",0.05,0.05,0.05,,20,,14
"September 6, 2001",0,0,0.1,<,2,,10
"September 3, 2001",0,0,0.02,,15,,5
"September 2, 2001",0,0.02,0.02,,20,<,5
"September 1, 2001",0.02,0.02,0.02,,5,<,5
"August 31, 2001",0,0,0,,18,,10
"August 30, 2001",0,0,0,,4,,4
"August 29, 2001",0,0,0.1,,10,,15
"August 28, 2001",0,0.1,0.1,,15,,20
"August 27, 2001",0.1,0.1,0.1,,5,,5
"August 26, 2001",0,0,0,,10,,160
"August 25, 2001",0,0,0,,30,,5
"August 24, 2001",0,0,0,,28,,2
"August 22, 2001",0,0,0.3,,255,,25
"August 21, 2001",0,0.3,0.3,,40,,15
"August 20, 2001",0.3,0.3,0.3,,180,,155
"August 19, 2001",0,0,0.17,,210,,250
"August 18, 2001",0,0.17,0.17,,220,,130
"August 17, 2001",0.17,0.17,0.17,,66,,
"August 16, 2001",0,0,0,,72,,82
"August 15, 2001",0,0,0.36,,70,,105
"August 14, 2001",0,0.36,1.48,,70,,10
"August 13, 2001",0.36,1.48,1.48,,15,,15
"August 12, 2001",1.12,1.12,1.6,,50,,225
"August 11, 2001",0,0.48,0.48,,20,,15
"August 10, 2001",0.48,0.48,0.48,,20,,32
"August 9, 2001",0,0,0,,36,,4
"August 8, 2001",0,0,0,,15,,5
"August 7, 2001",0,0,0,,20,,100
"August 6, 2001",0,0,0.04,,15,,5
"August 5, 2001",0,0.04,1.61,,25,,120
"August 4, 2001",0.04,1.61,1.61,,75,,75
"August 3, 2001",1.57,1.57,1.57,<,2,,4
"August 2, 2001",0,0,0,,6,,26
"August 1, 2001",0,0,0,<,5,<,5
"July 31, 2001",0,0,0,<,5,<,5
"July 30, 2001",0,0,0,<,5,<,5
"July 29, 2001",0,0,0,,5,<,5
"July 28, 2001",0,0,0.21,<,5,<,5
"July 27, 2001",0,0.21,0.21,<,5,,2
"July 26, 2001",0.21,0.21,0.21,<,2,<,2
"July 25, 2001",0,0,0,<,5,,15
"July 24, 2001",0,0,0,<,5,<,5
"July 23, 2001",0,0,0,,75,,35
"July 22, 2001",0,0,0,,500,,400
"July 21, 2001",0,0,0,,180,,10
"July 20, 2001",0,0,0,,26,<,2
"July 19, 2001",0,0,0.3,,6,,4
"July 18, 2001",0,0.3,0.3,,5,,5
"July 17, 2001",0.3,0.3,0.3,,5,,95
"July 16, 2001",0,0,0,<,5,,10
"July 15, 2001",0,0,0,,20,<,5
"July 14, 2001",0,0,0.02,<,5,<,5
"July 13, 2001",0,0.02,0.03,,4,<,2
"July 12, 2001",0.02,0.03,0.24,,4,,2
"July 11, 2001",0.01,0.22,0.22,<,5,,5
"July 10, 2001",0.21,0.21,0.3,<,5,<,5
"July 9, 2001",0,0.09,0.09,<,5,,5
"July 8, 2001",0.09,0.09,0.09,,15,<,5
"July 7, 2001",0,0,0.62,<,5,,5
"July 6, 2001",0,0.62,0.62,,4,,16
"July 5, 2001",0.62,0.62,0.62,,2,<,2
"July 4, 2001",0,0,0,,15,<,5
"July 3, 2001",0,0,0.67,,25,<,5
"July 2, 2001",0,0.67,1.64,,5,,5
"July 1, 2001",0.67,1.64,1.64,,10,,20
"June 30, 2001",0.97,0.97,0.97,,45,,5
"June 29, 2001",0,0,0,<,2,<,2
