Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
391,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",575,"5,061"
392,"Dalton, GA Metropolitan Statistical Area",573,821
393,"Moses Lake, WA Micropolitan Statistical Area",569,571
394,"Brownsville-Harlingen, TX Metropolitan Statistical Area",556,"2,352"
395,"Corbin, KY Micropolitan Statistical Area",552,826
396,"El Centro, CA Metropolitan Statistical Area",523,937
397,"San Juan-Bayamón-Caguas, PR Metropolitan Statistical Area",443,"9,133"
398,"Aguadilla, PR Metropolitan Statistical Area",287,725
399,"Mayagüez, PR Metropolitan Statistical Area",246,520
400,"Ponce, PR Metropolitan Statistical Area",246,673
401,"Arecibo, PR Metropolitan Statistical Area",206,373
,,,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",,,
